,0,1,2,3,4,5,6,Year,Stock
29,Non-Current Investments,235.42,205.15,185.34,162.06,152.36,,2021,bharatheavyelectricals
30,Deferred Tax Assets [Net],3422.62,3530.08,3671.24,2765.87,3505.45,,2021,bharatheavyelectricals
31,Long Term Loans And Advances,0.00,0.00,97.39,83.17,82.82,,2021,bharatheavyelectricals
32,Other Non-Current Assets,22799.64,21817.11,20032.18,20895.16,18606.87,,2021,bharatheavyelectricals
33,Total Non-Current Assets,29287.51,28381.78,26896.85,27037.38,25553.40,,2021,bharatheavyelectricals
34,CURRENT ASSETS,,,,,,,2021,bharatheavyelectricals
35,Current Investments,0.00,0.00,0.00,0.00,0.00,,2021,bharatheavyelectricals
36,Inventories,6755.90,6560.21,7194.45,8908.23,7800.04,,2021,bharatheavyelectricals
37,Trade Receivables,3128.35,3024.75,4035.07,7108.60,11863.14,,2021,bharatheavyelectricals
38,Cash And Cash Equivalents,6642.58,7153.69,6701.45,6418.59,7503.54,,2021,bharatheavyelectricals
39,Short Term Loans And Advances,0.00,0.00,0.00,0.00,157.71,,2021,bharatheavyelectricals
40,OtherCurrentAssets,13555.45,11123.33,10412.39,10275.76,11056.48,,2021,bharatheavyelectricals
41,Total Current Assets,30082.28,27861.98,28343.36,32711.18,38380.91,,2021,bharatheavyelectricals
42,Total Assets,59369.79,56243.76,55240.21,59748.56,63934.31,,2021,bharatheavyelectricals
43,OTHER ADDITIONAL INFORMATION,,,,,,,2021,bharatheavyelectricals
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,2021,bharatheavyelectricals
45,Contingent Liabilities,7661.56,7022.46,6324.64,8444.19,7759.43,,2021,bharatheavyelectricals
46,BONUS DETAILS,,,,,,,2021,bharatheavyelectricals
47,Bonus Equity Share Capital,464.27,464.27,464.27,464.27,464.27,,2021,bharatheavyelectricals
48,NON-CURRENT INVESTMENTS,,,,,,,2021,bharatheavyelectricals
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2021,bharatheavyelectricals
50,Non-Current Investments Unquoted Book Value,3.13,3.29,3.58,3.09,2.94,,2021,bharatheavyelectricals
51,CURRENT INVESTMENTS,,,,,,,2021,bharatheavyelectricals
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2021,bharatheavyelectricals
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,0.00,0.00,,2021,bharatheavyelectricals
0,Balance Sheet of Bharat Heavy Electricals (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2022,bharatheavyelectricals
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2022,bharatheavyelectricals
2,EQUITIES AND LIABILITIES,,,,,,,2022,bharatheavyelectricals
3,SHAREHOLDER'S FUNDS,,,,,,,2022,bharatheavyelectricals
4,Equity Share Capital,696.41,696.41,696.41,696.41,696.41,,2022,bharatheavyelectricals
5,Total Share Capital,696.41,696.41,696.41,696.41,696.41,,2022,bharatheavyelectricals
6,Reserves and Surplus,26131.62,25810.19,25287.25,27964.31,30207.93,,2022,bharatheavyelectricals
7,Total Reserves and Surplus,26131.62,25810.19,25287.25,27964.31,30207.93,,2022,bharatheavyelectricals
8,Total Shareholders Funds,26828.03,26506.60,25983.66,28660.72,30904.34,,2022,bharatheavyelectricals
9,Minority Interest,0.00,0.00,-11.66,-9.07,-6.73,,2022,bharatheavyelectricals
10,NON-CURRENT LIABILITIES,,,,,,,2022,bharatheavyelectricals
11,Long Term Borrowings,0.00,0.00,0.00,0.00,95.45,,2022,bharatheavyelectricals
12,Deferred Tax Liabilities [Net],0.00,0.00,0.00,0.00,0.00,,2022,bharatheavyelectricals
13,Other Long Term Liabilities,5089.29,4594.80,4982.75,4263.27,4410.04,,2022,bharatheavyelectricals
14,Long Term Provisions,4101.02,3771.21,3925.56,4225.16,5476.03,,2022,bharatheavyelectricals
15,Total Non-Current Liabilities,9190.31,8366.01,8908.31,8488.43,9981.52,,2022,bharatheavyelectricals
16,CURRENT LIABILITIES,,,,,,,2022,bharatheavyelectricals
17,Short Term Borrowings,5385.00,4745.00,4849.28,4947.92,2444.57,,2022,bharatheavyelectricals
18,Trade Payables,9895.83,7749.59,6683.51,8829.16,11380.98,,2022,bharatheavyelectricals
19,Other Current Liabilities,5273.98,5809.86,5658.59,5745.64,6740.66,,2022,bharatheavyelectricals
20,Short Term Provisions,2796.64,3066.70,3168.52,3085.76,2488.97,,2022,bharatheavyelectricals
21,Total Current Liabilities,23351.45,21371.15,20359.90,22608.48,23055.18,,2022,bharatheavyelectricals
22,Total Capital And Liabilities,59369.79,56243.76,55240.21,59748.56,63934.31,,2022,bharatheavyelectricals
23,ASSETS,,,,,,,2022,bharatheavyelectricals
24,NON-CURRENT ASSETS,,,,,,,2022,bharatheavyelectricals
25,Tangible Assets,2408.74,2336.34,2428.98,2738.51,2887.39,,2022,bharatheavyelectricals
26,Intangible Assets,67.24,62.12,62.16,78.61,83.07,,2022,bharatheavyelectricals
27,Capital Work-In-Progress,344.59,422.32,403.21,306.74,223.21,,2022,bharatheavyelectricals
28,Fixed Assets,2829.83,2829.44,2910.70,3131.12,3205.90,,2022,bharatheavyelectricals
29,Non-Current Investments,235.42,205.15,185.34,162.06,152.36,,2022,bharatheavyelectricals
30,Deferred Tax Assets [Net],3422.62,3530.08,3671.24,2765.87,3505.45,,2022,bharatheavyelectricals
31,Long Term Loans And Advances,0.00,0.00,97.39,83.17,82.82,,2022,bharatheavyelectricals
32,Other Non-Current Assets,22799.64,21817.11,20032.18,20895.16,18606.87,,2022,bharatheavyelectricals
33,Total Non-Current Assets,29287.51,28381.78,26896.85,27037.38,25553.40,,2022,bharatheavyelectricals
34,CURRENT ASSETS,,,,,,,2022,bharatheavyelectricals
35,Current Investments,0.00,0.00,0.00,0.00,0.00,,2022,bharatheavyelectricals
36,Inventories,6755.90,6560.21,7194.45,8908.23,7800.04,,2022,bharatheavyelectricals
37,Trade Receivables,3128.35,3024.75,4035.07,7108.60,11863.14,,2022,bharatheavyelectricals
38,Cash And Cash Equivalents,6642.58,7153.69,6701.45,6418.59,7503.54,,2022,bharatheavyelectricals
39,Short Term Loans And Advances,0.00,0.00,0.00,0.00,157.71,,2022,bharatheavyelectricals
40,OtherCurrentAssets,13555.45,11123.33,10412.39,10275.76,11056.48,,2022,bharatheavyelectricals
41,Total Current Assets,30082.28,27861.98,28343.36,32711.18,38380.91,,2022,bharatheavyelectricals
42,Total Assets,59369.79,56243.76,55240.21,59748.56,63934.31,,2022,bharatheavyelectricals
43,OTHER ADDITIONAL INFORMATION,,,,,,,2022,bharatheavyelectricals
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,2022,bharatheavyelectricals
45,Contingent Liabilities,7661.56,7022.46,6324.64,8444.19,7759.43,,2022,bharatheavyelectricals
46,BONUS DETAILS,,,,,,,2022,bharatheavyelectricals
47,Bonus Equity Share Capital,464.27,464.27,464.27,464.27,464.27,,2022,bharatheavyelectricals
48,NON-CURRENT INVESTMENTS,,,,,,,2022,bharatheavyelectricals
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2022,bharatheavyelectricals
50,Non-Current Investments Unquoted Book Value,3.13,3.29,3.58,3.09,2.94,,2022,bharatheavyelectricals
51,CURRENT INVESTMENTS,,,,,,,2022,bharatheavyelectricals
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2022,bharatheavyelectricals
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,0.00,0.00,,2022,bharatheavyelectricals
0,Balance Sheet of Bharat Heavy Electricals (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2023,bharatheavyelectricals
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2023,bharatheavyelectricals
2,EQUITIES AND LIABILITIES,,,,,,,2023,bharatheavyelectricals
3,SHAREHOLDER'S FUNDS,,,,,,,2023,bharatheavyelectricals
4,Equity Share Capital,696.41,696.41,696.41,696.41,696.41,,2023,bharatheavyelectricals
5,Total Share Capital,696.41,696.41,696.41,696.41,696.41,,2023,bharatheavyelectricals
6,Reserves and Surplus,26131.62,25810.19,25287.25,27964.31,30207.93,,2023,bharatheavyelectricals
7,Total Reserves and Surplus,26131.62,25810.19,25287.25,27964.31,30207.93,,2023,bharatheavyelectricals
8,Total Shareholders Funds,26828.03,26506.60,25983.66,28660.72,30904.34,,2023,bharatheavyelectricals
9,Minority Interest,0.00,0.00,-11.66,-9.07,-6.73,,2023,bharatheavyelectricals
10,NON-CURRENT LIABILITIES,,,,,,,2023,bharatheavyelectricals
11,Long Term Borrowings,0.00,0.00,0.00,0.00,95.45,,2023,bharatheavyelectricals
12,Deferred Tax Liabilities [Net],0.00,0.00,0.00,0.00,0.00,,2023,bharatheavyelectricals
13,Other Long Term Liabilities,5089.29,4594.80,4982.75,4263.27,4410.04,,2023,bharatheavyelectricals
14,Long Term Provisions,4101.02,3771.21,3925.56,4225.16,5476.03,,2023,bharatheavyelectricals
15,Total Non-Current Liabilities,9190.31,8366.01,8908.31,8488.43,9981.52,,2023,bharatheavyelectricals
16,CURRENT LIABILITIES,,,,,,,2023,bharatheavyelectricals
17,Short Term Borrowings,5385.00,4745.00,4849.28,4947.92,2444.57,,2023,bharatheavyelectricals
18,Trade Payables,9895.83,7749.59,6683.51,8829.16,11380.98,,2023,bharatheavyelectricals
19,Other Current Liabilities,5273.98,5809.86,5658.59,5745.64,6740.66,,2023,bharatheavyelectricals
20,Short Term Provisions,2796.64,3066.70,3168.52,3085.76,2488.97,,2023,bharatheavyelectricals
21,Total Current Liabilities,23351.45,21371.15,20359.90,22608.48,23055.18,,2023,bharatheavyelectricals
22,Total Capital And Liabilities,59369.79,56243.76,55240.21,59748.56,63934.31,,2023,bharatheavyelectricals
23,ASSETS,,,,,,,2023,bharatheavyelectricals
24,NON-CURRENT ASSETS,,,,,,,2023,bharatheavyelectricals
25,Tangible Assets,2408.74,2336.34,2428.98,2738.51,2887.39,,2023,bharatheavyelectricals
26,Intangible Assets,67.24,62.12,62.16,78.61,83.07,,2023,bharatheavyelectricals
27,Capital Work-In-Progress,344.59,422.32,403.21,306.74,223.21,,2023,bharatheavyelectricals
28,Fixed Assets,2829.83,2829.44,2910.70,3131.12,3205.90,,2023,bharatheavyelectricals
29,Non-Current Investments,235.42,205.15,185.34,162.06,152.36,,2023,bharatheavyelectricals
30,Deferred Tax Assets [Net],3422.62,3530.08,3671.24,2765.87,3505.45,,2023,bharatheavyelectricals
31,Long Term Loans And Advances,0.00,0.00,97.39,83.17,82.82,,2023,bharatheavyelectricals
32,Other Non-Current Assets,22799.64,21817.11,20032.18,20895.16,18606.87,,2023,bharatheavyelectricals
33,Total Non-Current Assets,29287.51,28381.78,26896.85,27037.38,25553.40,,2023,bharatheavyelectricals
34,CURRENT ASSETS,,,,,,,2023,bharatheavyelectricals
35,Current Investments,0.00,0.00,0.00,0.00,0.00,,2023,bharatheavyelectricals
36,Inventories,6755.90,6560.21,7194.45,8908.23,7800.04,,2023,bharatheavyelectricals
37,Trade Receivables,3128.35,3024.75,4035.07,7108.60,11863.14,,2023,bharatheavyelectricals
38,Cash And Cash Equivalents,6642.58,7153.69,6701.45,6418.59,7503.54,,2023,bharatheavyelectricals
39,Short Term Loans And Advances,0.00,0.00,0.00,0.00,157.71,,2023,bharatheavyelectricals
40,OtherCurrentAssets,13555.45,11123.33,10412.39,10275.76,11056.48,,2023,bharatheavyelectricals
41,Total Current Assets,30082.28,27861.98,28343.36,32711.18,38380.91,,2023,bharatheavyelectricals
42,Total Assets,59369.79,56243.76,55240.21,59748.56,63934.31,,2023,bharatheavyelectricals
43,OTHER ADDITIONAL INFORMATION,,,,,,,2023,bharatheavyelectricals
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,2023,bharatheavyelectricals
45,Contingent Liabilities,7661.56,7022.46,6324.64,8444.19,7759.43,,2023,bharatheavyelectricals
46,BONUS DETAILS,,,,,,,2023,bharatheavyelectricals
47,Bonus Equity Share Capital,464.27,464.27,464.27,464.27,464.27,,2023,bharatheavyelectricals
48,NON-CURRENT INVESTMENTS,,,,,,,2023,bharatheavyelectricals
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2023,bharatheavyelectricals
50,Non-Current Investments Unquoted Book Value,3.13,3.29,3.58,3.09,2.94,,2023,bharatheavyelectricals
51,CURRENT INVESTMENTS,,,,,,,2023,bharatheavyelectricals
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2023,bharatheavyelectricals
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,0.00,0.00,,2023,bharatheavyelectricals
0,Balance Sheet of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2018,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2018,britanniaindustries
2,EQUITIES AND LIABILITIES,,,,,,,2018,britanniaindustries
3,SHAREHOLDER'S FUNDS,,,,,,,2018,britanniaindustries
4,Equity Share Capital,24.09,24.09,24.09,24.05,24.03,,2018,britanniaindustries
5,Total Share Capital,24.09,24.09,24.09,24.05,24.03,,2018,britanniaindustries
6,Reserves and Surplus,3510.18,2534.01,3495.47,4344.37,4209.29,,2018,britanniaindustries
7,Total Reserves and Surplus,3510.18,2534.01,3495.47,4344.37,4209.29,,2018,britanniaindustries
8,Total Shareholders Funds,3534.27,2558.10,3547.66,4402.83,4253.25,,2018,britanniaindustries
9,Minority Interest,30.23,27.50,36.34,35.65,32.68,,2018,britanniaindustries
10,NON-CURRENT LIABILITIES,,,,,,,2018,britanniaindustries
11,Long Term Borrowings,1551.80,706.99,747.75,766.06,61.92,,2018,britanniaindustries
12,Deferred Tax Liabilities [Net],1.87,0.81,8.69,12.69,3.87,,2018,britanniaindustries
13,Other Long Term Liabilities,74.51,66.40,54.07,46.54,27.24,,2018,britanniaindustries
14,Long Term Provisions,25.64,0.00,0.00,0.00,11.45,,2018,britanniaindustries
15,Total Non-Current Liabilities,1653.82,774.20,810.51,825.29,104.48,,2018,britanniaindustries
16,CURRENT LIABILITIES,,,,,,,2018,britanniaindustries
17,Short Term Borrowings,1428.71,1758.55,1339.42,747.99,76.10,,2018,britanniaindustries
18,Trade Payables,1448.81,1285.22,1314.75,1047.00,1140.51,,2018,britanniaindustries
19,Other Current Liabilities,743.49,626.85,572.63,509.77,438.29,,2018,britanniaindustries
20,Short Term Provisions,513.39,485.11,387.47,273.70,196.51,,2018,britanniaindustries
21,Total Current Liabilities,4134.40,4155.73,3614.27,2578.46,1851.41,,2018,britanniaindustries
22,Total Capital And Liabilities,9352.72,7515.53,8008.78,7842.23,6241.82,,2018,britanniaindustries
23,ASSETS,,,,,,,2018,britanniaindustries
24,NON-CURRENT ASSETS,,,,,,,2018,britanniaindustries
25,Tangible Assets,2512.82,1598.00,1648.51,1730.84,1550.31,,2018,britanniaindustries
26,Intangible Assets,14.24,15.60,8.54,8.37,7.62,,2018,britanniaindustries
27,Capital Work-In-Progress,105.00,535.68,116.52,39.55,101.24,,2018,britanniaindustries
28,Fixed Assets,2632.06,2149.28,1773.57,1778.76,1659.17,,2018,britanniaindustries
29,Non-Current Investments,1523.25,928.64,1387.44,1884.46,726.40,,2018,britanniaindustries
30,Deferred Tax Assets [Net],43.64,44.93,9.66,19.56,13.75,,2018,britanniaindustries
31,Long Term Loans And Advances,150.00,100.00,74.58,202.95,19.02,,2018,britanniaindustries
32,Other Non-Current Assets,129.38,182.65,207.95,142.56,166.77,,2018,britanniaindustries
33,Total Non-Current Assets,4606.49,3545.11,3589.10,4167.26,2715.48,,2018,britanniaindustries
34,CURRENT ASSETS,,,,,,,2018,britanniaindustries
35,Current Investments,1800.99,833.73,1393.25,1008.77,749.88,,2018,britanniaindustries
36,Inventories,1193.26,1367.49,1091.49,740.96,781.38,,2018,britanniaindustries
37,Trade Receivables,328.94,331.93,257.27,320.36,394.24,,2018,britanniaindustries
38,Cash And Cash Equivalents,197.98,184.90,211.34,122.85,109.82,,2018,britanniaindustries
39,Short Term Loans And Advances,560.00,698.00,946.56,1110.11,1203.92,,2018,britanniaindustries
40,OtherCurrentAssets,665.06,554.37,519.77,371.92,287.10,,2018,britanniaindustries
41,Total Current Assets,4746.23,3970.42,4419.68,3674.97,3526.34,,2018,britanniaindustries
42,Total Assets,9352.72,7515.53,8008.78,7842.23,6241.82,,2018,britanniaindustries
43,OTHER ADDITIONAL INFORMATION,,,,,,,2018,britanniaindustries
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,2018,britanniaindustries
45,Contingent Liabilities,450.31,625.21,584.33,277.65,287.84,,2018,britanniaindustries
46,BONUS DETAILS,,,,,,,2018,britanniaindustries
47,Bonus Equity Share Capital,21.94,21.94,21.94,21.94,21.94,,2018,britanniaindustries
48,NON-CURRENT INVESTMENTS,,,,,,,2018,britanniaindustries
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2018,britanniaindustries
50,Non-Current Investments Unquoted Book Value,1028.09,926.55,1385.15,1882.98,725.36,,2018,britanniaindustries
51,CURRENT INVESTMENTS,,,,,,,2018,britanniaindustries
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2018,britanniaindustries
53,Current Investments Unquoted Book Value,1800.99,833.73,1393.25,1008.77,749.88,,2018,britanniaindustries
0,Balance Sheet of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2019,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2019,britanniaindustries
2,EQUITIES AND LIABILITIES,,,,,,,2019,britanniaindustries
3,SHAREHOLDER'S FUNDS,,,,,,,2019,britanniaindustries
4,Equity Share Capital,24.09,24.09,24.09,24.05,24.03,,2019,britanniaindustries
5,Total Share Capital,24.09,24.09,24.09,24.05,24.03,,2019,britanniaindustries
6,Reserves and Surplus,3510.18,2534.01,3495.47,4344.37,4209.29,,2019,britanniaindustries
7,Total Reserves and Surplus,3510.18,2534.01,3495.47,4344.37,4209.29,,2019,britanniaindustries
8,Total Shareholders Funds,3534.27,2558.10,3547.66,4402.83,4253.25,,2019,britanniaindustries
9,Minority Interest,30.23,27.50,36.34,35.65,32.68,,2019,britanniaindustries
10,NON-CURRENT LIABILITIES,,,,,,,2019,britanniaindustries
11,Long Term Borrowings,1551.80,706.99,747.75,766.06,61.92,,2019,britanniaindustries
12,Deferred Tax Liabilities [Net],1.87,0.81,8.69,12.69,3.87,,2019,britanniaindustries
13,Other Long Term Liabilities,74.51,66.40,54.07,46.54,27.24,,2019,britanniaindustries
14,Long Term Provisions,25.64,0.00,0.00,0.00,11.45,,2019,britanniaindustries
15,Total Non-Current Liabilities,1653.82,774.20,810.51,825.29,104.48,,2019,britanniaindustries
16,CURRENT LIABILITIES,,,,,,,2019,britanniaindustries
17,Short Term Borrowings,1428.71,1758.55,1339.42,747.99,76.10,,2019,britanniaindustries
18,Trade Payables,1448.81,1285.22,1314.75,1047.00,1140.51,,2019,britanniaindustries
19,Other Current Liabilities,743.49,626.85,572.63,509.77,438.29,,2019,britanniaindustries
20,Short Term Provisions,513.39,485.11,387.47,273.70,196.51,,2019,britanniaindustries
21,Total Current Liabilities,4134.40,4155.73,3614.27,2578.46,1851.41,,2019,britanniaindustries
22,Total Capital And Liabilities,9352.72,7515.53,8008.78,7842.23,6241.82,,2019,britanniaindustries
23,ASSETS,,,,,,,2019,britanniaindustries
24,NON-CURRENT ASSETS,,,,,,,2019,britanniaindustries
25,Tangible Assets,2512.82,1598.00,1648.51,1730.84,1550.31,,2019,britanniaindustries
26,Intangible Assets,14.24,15.60,8.54,8.37,7.62,,2019,britanniaindustries
27,Capital Work-In-Progress,105.00,535.68,116.52,39.55,101.24,,2019,britanniaindustries
28,Fixed Assets,2632.06,2149.28,1773.57,1778.76,1659.17,,2019,britanniaindustries
29,Non-Current Investments,1523.25,928.64,1387.44,1884.46,726.40,,2019,britanniaindustries
30,Deferred Tax Assets [Net],43.64,44.93,9.66,19.56,13.75,,2019,britanniaindustries
31,Long Term Loans And Advances,150.00,100.00,74.58,202.95,19.02,,2019,britanniaindustries
32,Other Non-Current Assets,129.38,182.65,207.95,142.56,166.77,,2019,britanniaindustries
33,Total Non-Current Assets,4606.49,3545.11,3589.10,4167.26,2715.48,,2019,britanniaindustries
34,CURRENT ASSETS,,,,,,,2019,britanniaindustries
35,Current Investments,1800.99,833.73,1393.25,1008.77,749.88,,2019,britanniaindustries
36,Inventories,1193.26,1367.49,1091.49,740.96,781.38,,2019,britanniaindustries
37,Trade Receivables,328.94,331.93,257.27,320.36,394.24,,2019,britanniaindustries
38,Cash And Cash Equivalents,197.98,184.90,211.34,122.85,109.82,,2019,britanniaindustries
39,Short Term Loans And Advances,560.00,698.00,946.56,1110.11,1203.92,,2019,britanniaindustries
40,OtherCurrentAssets,665.06,554.37,519.77,371.92,287.10,,2019,britanniaindustries
41,Total Current Assets,4746.23,3970.42,4419.68,3674.97,3526.34,,2019,britanniaindustries
42,Total Assets,9352.72,7515.53,8008.78,7842.23,6241.82,,2019,britanniaindustries
43,OTHER ADDITIONAL INFORMATION,,,,,,,2019,britanniaindustries
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,2019,britanniaindustries
45,Contingent Liabilities,450.31,625.21,584.33,277.65,287.84,,2019,britanniaindustries
46,BONUS DETAILS,,,,,,,2019,britanniaindustries
47,Bonus Equity Share Capital,21.94,21.94,21.94,21.94,21.94,,2019,britanniaindustries
48,NON-CURRENT INVESTMENTS,,,,,,,2019,britanniaindustries
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2019,britanniaindustries
50,Non-Current Investments Unquoted Book Value,1028.09,926.55,1385.15,1882.98,725.36,,2019,britanniaindustries
51,CURRENT INVESTMENTS,,,,,,,2019,britanniaindustries
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2019,britanniaindustries
53,Current Investments Unquoted Book Value,1800.99,833.73,1393.25,1008.77,749.88,,2019,britanniaindustries
0,Balance Sheet of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2020,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2020,britanniaindustries
2,EQUITIES AND LIABILITIES,,,,,,,2020,britanniaindustries
3,SHAREHOLDER'S FUNDS,,,,,,,2020,britanniaindustries
4,Equity Share Capital,24.09,24.09,24.09,24.05,24.03,,2020,britanniaindustries
5,Total Share Capital,24.09,24.09,24.09,24.05,24.03,,2020,britanniaindustries
6,Reserves and Surplus,3510.18,2534.01,3495.47,4344.37,4209.29,,2020,britanniaindustries
7,Total Reserves and Surplus,3510.18,2534.01,3495.47,4344.37,4209.29,,2020,britanniaindustries
8,Total Shareholders Funds,3534.27,2558.10,3547.66,4402.83,4253.25,,2020,britanniaindustries
9,Minority Interest,30.23,27.50,36.34,35.65,32.68,,2020,britanniaindustries
10,NON-CURRENT LIABILITIES,,,,,,,2020,britanniaindustries
11,Long Term Borrowings,1551.80,706.99,747.75,766.06,61.92,,2020,britanniaindustries
12,Deferred Tax Liabilities [Net],1.87,0.81,8.69,12.69,3.87,,2020,britanniaindustries
13,Other Long Term Liabilities,74.51,66.40,54.07,46.54,27.24,,2020,britanniaindustries
14,Long Term Provisions,25.64,0.00,0.00,0.00,11.45,,2020,britanniaindustries
15,Total Non-Current Liabilities,1653.82,774.20,810.51,825.29,104.48,,2020,britanniaindustries
16,CURRENT LIABILITIES,,,,,,,2020,britanniaindustries
17,Short Term Borrowings,1428.71,1758.55,1339.42,747.99,76.10,,2020,britanniaindustries
18,Trade Payables,1448.81,1285.22,1314.75,1047.00,1140.51,,2020,britanniaindustries
19,Other Current Liabilities,743.49,626.85,572.63,509.77,438.29,,2020,britanniaindustries
20,Short Term Provisions,513.39,485.11,387.47,273.70,196.51,,2020,britanniaindustries
21,Total Current Liabilities,4134.40,4155.73,3614.27,2578.46,1851.41,,2020,britanniaindustries
22,Total Capital And Liabilities,9352.72,7515.53,8008.78,7842.23,6241.82,,2020,britanniaindustries
23,ASSETS,,,,,,,2020,britanniaindustries
24,NON-CURRENT ASSETS,,,,,,,2020,britanniaindustries
25,Tangible Assets,2512.82,1598.00,1648.51,1730.84,1550.31,,2020,britanniaindustries
26,Intangible Assets,14.24,15.60,8.54,8.37,7.62,,2020,britanniaindustries
27,Capital Work-In-Progress,105.00,535.68,116.52,39.55,101.24,,2020,britanniaindustries
28,Fixed Assets,2632.06,2149.28,1773.57,1778.76,1659.17,,2020,britanniaindustries
29,Non-Current Investments,1523.25,928.64,1387.44,1884.46,726.40,,2020,britanniaindustries
30,Deferred Tax Assets [Net],43.64,44.93,9.66,19.56,13.75,,2020,britanniaindustries
31,Long Term Loans And Advances,150.00,100.00,74.58,202.95,19.02,,2020,britanniaindustries
32,Other Non-Current Assets,129.38,182.65,207.95,142.56,166.77,,2020,britanniaindustries
33,Total Non-Current Assets,4606.49,3545.11,3589.10,4167.26,2715.48,,2020,britanniaindustries
34,CURRENT ASSETS,,,,,,,2020,britanniaindustries
35,Current Investments,1800.99,833.73,1393.25,1008.77,749.88,,2020,britanniaindustries
36,Inventories,1193.26,1367.49,1091.49,740.96,781.38,,2020,britanniaindustries
37,Trade Receivables,328.94,331.93,257.27,320.36,394.24,,2020,britanniaindustries
38,Cash And Cash Equivalents,197.98,184.90,211.34,122.85,109.82,,2020,britanniaindustries
39,Short Term Loans And Advances,560.00,698.00,946.56,1110.11,1203.92,,2020,britanniaindustries
40,OtherCurrentAssets,665.06,554.37,519.77,371.92,287.10,,2020,britanniaindustries
41,Total Current Assets,4746.23,3970.42,4419.68,3674.97,3526.34,,2020,britanniaindustries
42,Total Assets,9352.72,7515.53,8008.78,7842.23,6241.82,,2020,britanniaindustries
43,OTHER ADDITIONAL INFORMATION,,,,,,,2020,britanniaindustries
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,2020,britanniaindustries
45,Contingent Liabilities,450.31,625.21,584.33,277.65,287.84,,2020,britanniaindustries
46,BONUS DETAILS,,,,,,,2020,britanniaindustries
47,Bonus Equity Share Capital,21.94,21.94,21.94,21.94,21.94,,2020,britanniaindustries
48,NON-CURRENT INVESTMENTS,,,,,,,2020,britanniaindustries
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2020,britanniaindustries
50,Non-Current Investments Unquoted Book Value,1028.09,926.55,1385.15,1882.98,725.36,,2020,britanniaindustries
51,CURRENT INVESTMENTS,,,,,,,2020,britanniaindustries
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2020,britanniaindustries
53,Current Investments Unquoted Book Value,1800.99,833.73,1393.25,1008.77,749.88,,2020,britanniaindustries
0,Balance Sheet of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2021,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2021,britanniaindustries
2,EQUITIES AND LIABILITIES,,,,,,,2021,britanniaindustries
3,SHAREHOLDER'S FUNDS,,,,,,,2021,britanniaindustries
4,Equity Share Capital,24.09,24.09,24.09,24.05,24.03,,2021,britanniaindustries
5,Total Share Capital,24.09,24.09,24.09,24.05,24.03,,2021,britanniaindustries
6,Reserves and Surplus,3510.18,2534.01,3495.47,4344.37,4209.29,,2021,britanniaindustries
7,Total Reserves and Surplus,3510.18,2534.01,3495.47,4344.37,4209.29,,2021,britanniaindustries
8,Total Shareholders Funds,3534.27,2558.10,3547.66,4402.83,4253.25,,2021,britanniaindustries
9,Minority Interest,30.23,27.50,36.34,35.65,32.68,,2021,britanniaindustries
