,0,1,2,3,4,5,6,Year,Stock
16,Depreciation And Amortisation Expenses,260.34,314.12,473.25,503.27,475.74,,2023,bharatheavyelectricals
17,Other Expenses,647.03,1688.87,1733.74,1995.54,2698.13,,2023,bharatheavyelectricals
18,Total Expenses,23430.15,21145.59,21297.18,22712.23,29077.56,,2023,bharatheavyelectricals
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",423.42,420.04,-3640.07,-684.79,2025.34,,2023,bharatheavyelectricals
20,Exceptional Items,0.00,0.00,0.00,0.00,0.00,,2023,bharatheavyelectricals
21,Profit/Loss Before Tax,423.42,420.04,-3640.07,-684.79,2025.34,,2023,bharatheavyelectricals
22,Tax Expenses-Continued Operations,,,,,,,2023,bharatheavyelectricals
23,Current Tax,-111.22,-77.13,15.82,1.52,735.07,,2023,bharatheavyelectricals
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2023,bharatheavyelectricals
25,Deferred Tax,113.27,102.88,-912.05,807.76,102.25,,2023,bharatheavyelectricals
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2023,bharatheavyelectricals
27,Total Tax Expenses,2.05,25.75,-896.23,809.28,837.32,,2023,bharatheavyelectricals
28,Profit/Loss After Tax And Before ExtraOrdinary Items,421.37,394.29,-2743.84,-1494.07,1188.02,,2023,bharatheavyelectricals
29,Profit/Loss From Continuing Operations,421.37,394.29,-2743.84,-1494.07,1188.02,,2023,bharatheavyelectricals
30,Profit/Loss For The Period,421.37,394.29,-2743.84,-1494.07,1188.02,,2023,bharatheavyelectricals
31,Minority Interest,0.00,1.32,2.59,2.34,2.68,,2023,bharatheavyelectricals
32,Consolidated Profit/Loss After MI And Associates,477.39,446.03,-2697.11,-1466.01,1005.10,,2023,bharatheavyelectricals
33,OTHER ADDITIONAL INFORMATION,,,,,,,2023,bharatheavyelectricals
34,EARNINGS PER SHARE,,,,,,,2023,bharatheavyelectricals
35,Basic EPS (Rs.),1.00,1.00,-8.00,-4.00,3.00,,2023,bharatheavyelectricals
36,Diluted EPS (Rs.),1.00,1.00,-8.00,-4.00,3.00,,2023,bharatheavyelectricals
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2023,bharatheavyelectricals
38,Equity Share Dividend,139.28,0.00,0.00,0.00,278.57,,2023,bharatheavyelectricals
39,Tax On Dividend,0.00,0.00,0.00,0.00,134.24,,2023,bharatheavyelectricals
0,Profit & Loss account of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2018,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2018,britanniaindustries
2,INCOME,,,,,,,2018,britanniaindustries
3,Revenue From Operations [Gross],15984.90,13944.67,12883.04,11443.99,10973.46,,2018,britanniaindustries
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2018,britanniaindustries
5,Revenue From Operations [Net],15984.90,13944.67,12883.04,11443.99,10973.46,,2018,britanniaindustries
6,Total Operating Revenues,16300.55,14136.26,13136.14,11599.55,11054.67,,2018,britanniaindustries
7,Other Income,215.86,222.83,312.87,279.40,206.45,,2018,britanniaindustries
8,Total Revenue,16516.41,14359.09,13449.01,11878.95,11261.12,,2018,britanniaindustries
9,EXPENSES,,,,,,,2018,britanniaindustries
10,Cost Of Materials Consumed,8326.70,7473.97,6502.33,5684.98,5513.01,,2018,britanniaindustries
11,Purchase Of Stock-In Trade,1337.13,1361.59,1160.89,1189.92,1103.63,,2018,britanniaindustries
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2018,britanniaindustries
13,Changes In Inventories Of FGWIP And Stock In Trade,-72.53,-75.26,-37.12,52.57,-55.18,,2018,britanniaindustries
14,Employee Benefit Expenses,658.38,542.26,527.38,486.69,441.82,,2018,britanniaindustries
15,Finance Costs,169.10,144.29,110.90,76.90,9.09,,2018,britanniaindustries
16,Depreciation And Amortisation Expenses,225.91,200.54,197.85,184.81,161.88,,2018,britanniaindustries
17,Other Expenses,3219.96,2632.19,2473.37,2342.21,2317.97,,2018,britanniaindustries
18,Total Expenses,13864.65,12279.58,10935.60,10018.08,9492.22,,2018,britanniaindustries
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2651.76,2079.51,2513.41,1860.87,1768.90,,2018,britanniaindustries
20,Exceptional Items,375.60,-0.98,-0.61,-17.01,0.00,,2018,britanniaindustries
21,Profit/Loss Before Tax,3027.36,2078.53,2512.80,1843.86,1768.90,,2018,britanniaindustries
22,Tax Expenses-Continued Operations,,,,,,,2018,britanniaindustries
23,Current Tax,720.97,612.24,657.12,447.69,599.78,,2018,britanniaindustries
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2018,britanniaindustries
25,Deferred Tax,-4.52,-49.89,5.90,3.01,12.69,,2018,britanniaindustries
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2018,britanniaindustries
27,Total Tax Expenses,716.45,562.35,663.02,450.70,612.47,,2018,britanniaindustries
28,Profit/Loss After Tax And Before ExtraOrdinary Items,2310.91,1516.18,1849.78,1393.16,1156.43,,2018,britanniaindustries
29,Profit/Loss From Continuing Operations,2310.91,1516.18,1849.78,1393.16,1156.43,,2018,britanniaindustries
30,Profit/Loss For The Period,2310.91,1516.18,1849.78,1393.16,1156.43,,2018,britanniaindustries
31,Minority Interest,5.45,8.84,13.31,9.03,3.66,,2018,britanniaindustries
32,Consolidated Profit/Loss After MI And Associates,2321.77,1524.82,1863.90,1402.63,1159.12,,2018,britanniaindustries
33,OTHER ADDITIONAL INFORMATION,,,,,,,2018,britanniaindustries
34,EARNINGS PER SHARE,,,,,,,2018,britanniaindustries
35,Basic EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2018,britanniaindustries
36,Diluted EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2018,britanniaindustries
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2018,britanniaindustries
38,Equity Share Dividend,1360.91,1794.47,2839.66,360.48,360.45,,2018,britanniaindustries
39,Tax On Dividend,0.00,0.00,0.00,74.09,1.40,,2018,britanniaindustries
0,Profit & Loss account of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2019,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2019,britanniaindustries
2,INCOME,,,,,,,2019,britanniaindustries
3,Revenue From Operations [Gross],15984.90,13944.67,12883.04,11443.99,10973.46,,2019,britanniaindustries
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2019,britanniaindustries
5,Revenue From Operations [Net],15984.90,13944.67,12883.04,11443.99,10973.46,,2019,britanniaindustries
6,Total Operating Revenues,16300.55,14136.26,13136.14,11599.55,11054.67,,2019,britanniaindustries
7,Other Income,215.86,222.83,312.87,279.40,206.45,,2019,britanniaindustries
8,Total Revenue,16516.41,14359.09,13449.01,11878.95,11261.12,,2019,britanniaindustries
9,EXPENSES,,,,,,,2019,britanniaindustries
10,Cost Of Materials Consumed,8326.70,7473.97,6502.33,5684.98,5513.01,,2019,britanniaindustries
11,Purchase Of Stock-In Trade,1337.13,1361.59,1160.89,1189.92,1103.63,,2019,britanniaindustries
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2019,britanniaindustries
13,Changes In Inventories Of FGWIP And Stock In Trade,-72.53,-75.26,-37.12,52.57,-55.18,,2019,britanniaindustries
14,Employee Benefit Expenses,658.38,542.26,527.38,486.69,441.82,,2019,britanniaindustries
15,Finance Costs,169.10,144.29,110.90,76.90,9.09,,2019,britanniaindustries
16,Depreciation And Amortisation Expenses,225.91,200.54,197.85,184.81,161.88,,2019,britanniaindustries
17,Other Expenses,3219.96,2632.19,2473.37,2342.21,2317.97,,2019,britanniaindustries
18,Total Expenses,13864.65,12279.58,10935.60,10018.08,9492.22,,2019,britanniaindustries
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2651.76,2079.51,2513.41,1860.87,1768.90,,2019,britanniaindustries
20,Exceptional Items,375.60,-0.98,-0.61,-17.01,0.00,,2019,britanniaindustries
21,Profit/Loss Before Tax,3027.36,2078.53,2512.80,1843.86,1768.90,,2019,britanniaindustries
22,Tax Expenses-Continued Operations,,,,,,,2019,britanniaindustries
23,Current Tax,720.97,612.24,657.12,447.69,599.78,,2019,britanniaindustries
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2019,britanniaindustries
25,Deferred Tax,-4.52,-49.89,5.90,3.01,12.69,,2019,britanniaindustries
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2019,britanniaindustries
27,Total Tax Expenses,716.45,562.35,663.02,450.70,612.47,,2019,britanniaindustries
28,Profit/Loss After Tax And Before ExtraOrdinary Items,2310.91,1516.18,1849.78,1393.16,1156.43,,2019,britanniaindustries
29,Profit/Loss From Continuing Operations,2310.91,1516.18,1849.78,1393.16,1156.43,,2019,britanniaindustries
30,Profit/Loss For The Period,2310.91,1516.18,1849.78,1393.16,1156.43,,2019,britanniaindustries
31,Minority Interest,5.45,8.84,13.31,9.03,3.66,,2019,britanniaindustries
32,Consolidated Profit/Loss After MI And Associates,2321.77,1524.82,1863.90,1402.63,1159.12,,2019,britanniaindustries
33,OTHER ADDITIONAL INFORMATION,,,,,,,2019,britanniaindustries
34,EARNINGS PER SHARE,,,,,,,2019,britanniaindustries
35,Basic EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2019,britanniaindustries
36,Diluted EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2019,britanniaindustries
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2019,britanniaindustries
38,Equity Share Dividend,1360.91,1794.47,2839.66,360.48,360.45,,2019,britanniaindustries
39,Tax On Dividend,0.00,0.00,0.00,74.09,1.40,,2019,britanniaindustries
0,Profit & Loss account of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2020,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2020,britanniaindustries
2,INCOME,,,,,,,2020,britanniaindustries
3,Revenue From Operations [Gross],15984.90,13944.67,12883.04,11443.99,10973.46,,2020,britanniaindustries
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2020,britanniaindustries
5,Revenue From Operations [Net],15984.90,13944.67,12883.04,11443.99,10973.46,,2020,britanniaindustries
6,Total Operating Revenues,16300.55,14136.26,13136.14,11599.55,11054.67,,2020,britanniaindustries
7,Other Income,215.86,222.83,312.87,279.40,206.45,,2020,britanniaindustries
8,Total Revenue,16516.41,14359.09,13449.01,11878.95,11261.12,,2020,britanniaindustries
9,EXPENSES,,,,,,,2020,britanniaindustries
10,Cost Of Materials Consumed,8326.70,7473.97,6502.33,5684.98,5513.01,,2020,britanniaindustries
11,Purchase Of Stock-In Trade,1337.13,1361.59,1160.89,1189.92,1103.63,,2020,britanniaindustries
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2020,britanniaindustries
13,Changes In Inventories Of FGWIP And Stock In Trade,-72.53,-75.26,-37.12,52.57,-55.18,,2020,britanniaindustries
14,Employee Benefit Expenses,658.38,542.26,527.38,486.69,441.82,,2020,britanniaindustries
15,Finance Costs,169.10,144.29,110.90,76.90,9.09,,2020,britanniaindustries
16,Depreciation And Amortisation Expenses,225.91,200.54,197.85,184.81,161.88,,2020,britanniaindustries
17,Other Expenses,3219.96,2632.19,2473.37,2342.21,2317.97,,2020,britanniaindustries
18,Total Expenses,13864.65,12279.58,10935.60,10018.08,9492.22,,2020,britanniaindustries
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2651.76,2079.51,2513.41,1860.87,1768.90,,2020,britanniaindustries
20,Exceptional Items,375.60,-0.98,-0.61,-17.01,0.00,,2020,britanniaindustries
21,Profit/Loss Before Tax,3027.36,2078.53,2512.80,1843.86,1768.90,,2020,britanniaindustries
22,Tax Expenses-Continued Operations,,,,,,,2020,britanniaindustries
23,Current Tax,720.97,612.24,657.12,447.69,599.78,,2020,britanniaindustries
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2020,britanniaindustries
25,Deferred Tax,-4.52,-49.89,5.90,3.01,12.69,,2020,britanniaindustries
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2020,britanniaindustries
27,Total Tax Expenses,716.45,562.35,663.02,450.70,612.47,,2020,britanniaindustries
28,Profit/Loss After Tax And Before ExtraOrdinary Items,2310.91,1516.18,1849.78,1393.16,1156.43,,2020,britanniaindustries
29,Profit/Loss From Continuing Operations,2310.91,1516.18,1849.78,1393.16,1156.43,,2020,britanniaindustries
30,Profit/Loss For The Period,2310.91,1516.18,1849.78,1393.16,1156.43,,2020,britanniaindustries
31,Minority Interest,5.45,8.84,13.31,9.03,3.66,,2020,britanniaindustries
32,Consolidated Profit/Loss After MI And Associates,2321.77,1524.82,1863.90,1402.63,1159.12,,2020,britanniaindustries
33,OTHER ADDITIONAL INFORMATION,,,,,,,2020,britanniaindustries
34,EARNINGS PER SHARE,,,,,,,2020,britanniaindustries
35,Basic EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2020,britanniaindustries
36,Diluted EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2020,britanniaindustries
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2020,britanniaindustries
38,Equity Share Dividend,1360.91,1794.47,2839.66,360.48,360.45,,2020,britanniaindustries
39,Tax On Dividend,0.00,0.00,0.00,74.09,1.40,,2020,britanniaindustries
0,Profit & Loss account of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2021,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2021,britanniaindustries
2,INCOME,,,,,,,2021,britanniaindustries
3,Revenue From Operations [Gross],15984.90,13944.67,12883.04,11443.99,10973.46,,2021,britanniaindustries
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2021,britanniaindustries
5,Revenue From Operations [Net],15984.90,13944.67,12883.04,11443.99,10973.46,,2021,britanniaindustries
6,Total Operating Revenues,16300.55,14136.26,13136.14,11599.55,11054.67,,2021,britanniaindustries
7,Other Income,215.86,222.83,312.87,279.40,206.45,,2021,britanniaindustries
8,Total Revenue,16516.41,14359.09,13449.01,11878.95,11261.12,,2021,britanniaindustries
9,EXPENSES,,,,,,,2021,britanniaindustries
10,Cost Of Materials Consumed,8326.70,7473.97,6502.33,5684.98,5513.01,,2021,britanniaindustries
11,Purchase Of Stock-In Trade,1337.13,1361.59,1160.89,1189.92,1103.63,,2021,britanniaindustries
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2021,britanniaindustries
13,Changes In Inventories Of FGWIP And Stock In Trade,-72.53,-75.26,-37.12,52.57,-55.18,,2021,britanniaindustries
14,Employee Benefit Expenses,658.38,542.26,527.38,486.69,441.82,,2021,britanniaindustries
15,Finance Costs,169.10,144.29,110.90,76.90,9.09,,2021,britanniaindustries
16,Depreciation And Amortisation Expenses,225.91,200.54,197.85,184.81,161.88,,2021,britanniaindustries
17,Other Expenses,3219.96,2632.19,2473.37,2342.21,2317.97,,2021,britanniaindustries
18,Total Expenses,13864.65,12279.58,10935.60,10018.08,9492.22,,2021,britanniaindustries
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2651.76,2079.51,2513.41,1860.87,1768.90,,2021,britanniaindustries
20,Exceptional Items,375.60,-0.98,-0.61,-17.01,0.00,,2021,britanniaindustries
21,Profit/Loss Before Tax,3027.36,2078.53,2512.80,1843.86,1768.90,,2021,britanniaindustries
22,Tax Expenses-Continued Operations,,,,,,,2021,britanniaindustries
23,Current Tax,720.97,612.24,657.12,447.69,599.78,,2021,britanniaindustries
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2021,britanniaindustries
25,Deferred Tax,-4.52,-49.89,5.90,3.01,12.69,,2021,britanniaindustries
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2021,britanniaindustries
27,Total Tax Expenses,716.45,562.35,663.02,450.70,612.47,,2021,britanniaindustries
28,Profit/Loss After Tax And Before ExtraOrdinary Items,2310.91,1516.18,1849.78,1393.16,1156.43,,2021,britanniaindustries
29,Profit/Loss From Continuing Operations,2310.91,1516.18,1849.78,1393.16,1156.43,,2021,britanniaindustries
30,Profit/Loss For The Period,2310.91,1516.18,1849.78,1393.16,1156.43,,2021,britanniaindustries
31,Minority Interest,5.45,8.84,13.31,9.03,3.66,,2021,britanniaindustries
32,Consolidated Profit/Loss After MI And Associates,2321.77,1524.82,1863.90,1402.63,1159.12,,2021,britanniaindustries
33,OTHER ADDITIONAL INFORMATION,,,,,,,2021,britanniaindustries
34,EARNINGS PER SHARE,,,,,,,2021,britanniaindustries
35,Basic EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2021,britanniaindustries
36,Diluted EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2021,britanniaindustries
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2021,britanniaindustries
38,Equity Share Dividend,1360.91,1794.47,2839.66,360.48,360.45,,2021,britanniaindustries
39,Tax On Dividend,0.00,0.00,0.00,74.09,1.40,,2021,britanniaindustries
0,Profit & Loss account of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2022,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2022,britanniaindustries
2,INCOME,,,,,,,2022,britanniaindustries
3,Revenue From Operations [Gross],15984.90,13944.67,12883.04,11443.99,10973.46,,2022,britanniaindustries
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2022,britanniaindustries
5,Revenue From Operations [Net],15984.90,13944.67,12883.04,11443.99,10973.46,,2022,britanniaindustries
6,Total Operating Revenues,16300.55,14136.26,13136.14,11599.55,11054.67,,2022,britanniaindustries
7,Other Income,215.86,222.83,312.87,279.40,206.45,,2022,britanniaindustries
8,Total Revenue,16516.41,14359.09,13449.01,11878.95,11261.12,,2022,britanniaindustries
9,EXPENSES,,,,,,,2022,britanniaindustries
10,Cost Of Materials Consumed,8326.70,7473.97,6502.33,5684.98,5513.01,,2022,britanniaindustries
11,Purchase Of Stock-In Trade,1337.13,1361.59,1160.89,1189.92,1103.63,,2022,britanniaindustries
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2022,britanniaindustries
13,Changes In Inventories Of FGWIP And Stock In Trade,-72.53,-75.26,-37.12,52.57,-55.18,,2022,britanniaindustries
14,Employee Benefit Expenses,658.38,542.26,527.38,486.69,441.82,,2022,britanniaindustries
15,Finance Costs,169.10,144.29,110.90,76.90,9.09,,2022,britanniaindustries
16,Depreciation And Amortisation Expenses,225.91,200.54,197.85,184.81,161.88,,2022,britanniaindustries
17,Other Expenses,3219.96,2632.19,2473.37,2342.21,2317.97,,2022,britanniaindustries
18,Total Expenses,13864.65,12279.58,10935.60,10018.08,9492.22,,2022,britanniaindustries
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2651.76,2079.51,2513.41,1860.87,1768.90,,2022,britanniaindustries
20,Exceptional Items,375.60,-0.98,-0.61,-17.01,0.00,,2022,britanniaindustries
21,Profit/Loss Before Tax,3027.36,2078.53,2512.80,1843.86,1768.90,,2022,britanniaindustries
22,Tax Expenses-Continued Operations,,,,,,,2022,britanniaindustries
23,Current Tax,720.97,612.24,657.12,447.69,599.78,,2022,britanniaindustries
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2022,britanniaindustries
25,Deferred Tax,-4.52,-49.89,5.90,3.01,12.69,,2022,britanniaindustries
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2022,britanniaindustries
27,Total Tax Expenses,716.45,562.35,663.02,450.70,612.47,,2022,britanniaindustries
28,Profit/Loss After Tax And Before ExtraOrdinary Items,2310.91,1516.18,1849.78,1393.16,1156.43,,2022,britanniaindustries
29,Profit/Loss From Continuing Operations,2310.91,1516.18,1849.78,1393.16,1156.43,,2022,britanniaindustries
30,Profit/Loss For The Period,2310.91,1516.18,1849.78,1393.16,1156.43,,2022,britanniaindustries
31,Minority Interest,5.45,8.84,13.31,9.03,3.66,,2022,britanniaindustries
32,Consolidated Profit/Loss After MI And Associates,2321.77,1524.82,1863.90,1402.63,1159.12,,2022,britanniaindustries
33,OTHER ADDITIONAL INFORMATION,,,,,,,2022,britanniaindustries
34,EARNINGS PER SHARE,,,,,,,2022,britanniaindustries
35,Basic EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2022,britanniaindustries
36,Diluted EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2022,britanniaindustries
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2022,britanniaindustries
38,Equity Share Dividend,1360.91,1794.47,2839.66,360.48,360.45,,2022,britanniaindustries
39,Tax On Dividend,0.00,0.00,0.00,74.09,1.40,,2022,britanniaindustries
0,Profit & Loss account of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2023,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2023,britanniaindustries
2,INCOME,,,,,,,2023,britanniaindustries
3,Revenue From Operations [Gross],15984.90,13944.67,12883.04,11443.99,10973.46,,2023,britanniaindustries
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2023,britanniaindustries
5,Revenue From Operations [Net],15984.90,13944.67,12883.04,11443.99,10973.46,,2023,britanniaindustries
6,Total Operating Revenues,16300.55,14136.26,13136.14,11599.55,11054.67,,2023,britanniaindustries
7,Other Income,215.86,222.83,312.87,279.40,206.45,,2023,britanniaindustries
8,Total Revenue,16516.41,14359.09,13449.01,11878.95,11261.12,,2023,britanniaindustries
9,EXPENSES,,,,,,,2023,britanniaindustries
10,Cost Of Materials Consumed,8326.70,7473.97,6502.33,5684.98,5513.01,,2023,britanniaindustries
11,Purchase Of Stock-In Trade,1337.13,1361.59,1160.89,1189.92,1103.63,,2023,britanniaindustries
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2023,britanniaindustries
13,Changes In Inventories Of FGWIP And Stock In Trade,-72.53,-75.26,-37.12,52.57,-55.18,,2023,britanniaindustries
14,Employee Benefit Expenses,658.38,542.26,527.38,486.69,441.82,,2023,britanniaindustries
15,Finance Costs,169.10,144.29,110.90,76.90,9.09,,2023,britanniaindustries
16,Depreciation And Amortisation Expenses,225.91,200.54,197.85,184.81,161.88,,2023,britanniaindustries
17,Other Expenses,3219.96,2632.19,2473.37,2342.21,2317.97,,2023,britanniaindustries
18,Total Expenses,13864.65,12279.58,10935.60,10018.08,9492.22,,2023,britanniaindustries
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",2651.76,2079.51,2513.41,1860.87,1768.90,,2023,britanniaindustries
20,Exceptional Items,375.60,-0.98,-0.61,-17.01,0.00,,2023,britanniaindustries
21,Profit/Loss Before Tax,3027.36,2078.53,2512.80,1843.86,1768.90,,2023,britanniaindustries
22,Tax Expenses-Continued Operations,,,,,,,2023,britanniaindustries
23,Current Tax,720.97,612.24,657.12,447.69,599.78,,2023,britanniaindustries
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2023,britanniaindustries
25,Deferred Tax,-4.52,-49.89,5.90,3.01,12.69,,2023,britanniaindustries
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2023,britanniaindustries
27,Total Tax Expenses,716.45,562.35,663.02,450.70,612.47,,2023,britanniaindustries
28,Profit/Loss After Tax And Before ExtraOrdinary Items,2310.91,1516.18,1849.78,1393.16,1156.43,,2023,britanniaindustries
29,Profit/Loss From Continuing Operations,2310.91,1516.18,1849.78,1393.16,1156.43,,2023,britanniaindustries
30,Profit/Loss For The Period,2310.91,1516.18,1849.78,1393.16,1156.43,,2023,britanniaindustries
31,Minority Interest,5.45,8.84,13.31,9.03,3.66,,2023,britanniaindustries
32,Consolidated Profit/Loss After MI And Associates,2321.77,1524.82,1863.90,1402.63,1159.12,,2023,britanniaindustries
33,OTHER ADDITIONAL INFORMATION,,,,,,,2023,britanniaindustries
34,EARNINGS PER SHARE,,,,,,,2023,britanniaindustries
35,Basic EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2023,britanniaindustries
36,Diluted EPS (Rs.),96.00,63.00,77.00,58.00,48.00,,2023,britanniaindustries
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2023,britanniaindustries
38,Equity Share Dividend,1360.91,1794.47,2839.66,360.48,360.45,,2023,britanniaindustries
39,Tax On Dividend,0.00,0.00,0.00,74.09,1.40,,2023,britanniaindustries
0,Profit & Loss account of Birlasoft (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2018,birlasoft
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2018,birlasoft
2,INCOME,,,,,,,2018,birlasoft
3,Revenue From Operations [Gross],4794.77,4130.35,3555.72,3290.97,2550.67,,2018,birlasoft
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2018,birlasoft
5,Revenue From Operations [Net],4794.77,4130.35,3555.72,3290.97,2550.67,,2018,birlasoft
6,Total Operating Revenues,4794.77,4130.35,3555.72,3290.97,2550.67,,2018,birlasoft
7,Other Income,22.81,66.20,18.98,42.99,26.06,,2018,birlasoft
8,Total Revenue,4817.58,4196.55,3574.70,3333.96,2576.72,,2018,birlasoft
9,EXPENSES,,,,,,,2018,birlasoft
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,,2018,birlasoft
11,Purchase Of Stock-In Trade,0.00,0.00,0.00,0.00,0.00,,2018,birlasoft
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2018,birlasoft
13,Changes In Inventories Of FGWIP And Stock In Trade,0.00,0.00,0.00,0.00,0.00,,2018,birlasoft
14,Employee Benefit Expenses,2813.06,2368.88,2115.81,1997.54,1535.19,,2018,birlasoft
15,Finance Costs,18.59,13.02,13.04,16.13,10.84,,2018,birlasoft
16,Depreciation And Amortisation Expenses,82.27,76.51,80.37,82.58,49.87,,2018,birlasoft
17,Other Expenses,1461.25,1121.35,910.68,901.51,709.08,,2018,birlasoft
18,Total Expenses,4375.16,3579.75,3119.90,2997.76,2304.99,,2018,birlasoft
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",442.42,616.80,454.80,336.20,271.74,,2018,birlasoft
20,Exceptional Items,0.00,-0.14,0.00,0.00,17.59,,2018,birlasoft
21,Profit/Loss Before Tax,442.42,616.66,454.80,336.20,289.32,,2018,birlasoft
22,Tax Expenses-Continued Operations,,,,,,,2018,birlasoft
23,Current Tax,127.78,152.37,117.30,111.16,74.67,,2018,birlasoft
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2018,birlasoft
25,Deferred Tax,-16.94,0.66,16.67,0.69,-20.73,,2018,birlasoft
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2018,birlasoft
27,Total Tax Expenses,110.84,153.02,133.97,111.86,53.94,,2018,birlasoft
28,Profit/Loss After Tax And Before ExtraOrdinary Items,331.58,463.64,320.83,224.35,235.39,,2018,birlasoft
29,Profit/Loss From Continuing Operations,331.58,463.64,320.83,224.35,235.39,,2018,birlasoft
30,Profit/Loss For The Period,331.58,463.64,320.83,224.35,292.16,,2018,birlasoft
31,Minority Interest,0.00,0.00,0.00,0.00,-2.69,,2018,birlasoft
