,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,Stock,Yearly Results of Aarti Industries (in Rs. Cr.),,Yearly Results of Balrampur Chini Mills (in Rs. Cr.),,Yearly Results of Bharti Airtel (in Rs. Cr.),,Yearly Results of Bharat Heavy Electricals (in Rs. Cr.),,Yearly Results of Britannia Industries (in Rs. Cr.),,Yearly Results of Birlasoft (in Rs. Cr.),,Yearly Results of Canara Bank (in Rs. Cr.),,Yearly Results of Chambal Fertilisers and Chemicals (in Rs. Cr.),,Yearly Results of Colgate Palmolive (India) (in Rs. Cr.),,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,Yearly Results of Escorts Kubota (in Rs. Cr.),,Yearly Results of GMR Airports Infrastructure (in Rs. Cr.),,Yearly Results of Hindustan Aeronautics Ltd. (in Rs. Cr.),,Yearly Results of Havells India (in Rs. Cr.),,Yearly Results of HDFC Life Insurance Company (in Rs. Cr.),,Yearly Results of L&T Finance Holdings (in Rs. Cr.),,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,Yearly Results of Max Financial Services (in Rs. Cr.),,Yearly Results of NMDC (in Rs. Cr.),,Yearly Results of Piramal Enterprises (in Rs. Cr.),,Yearly Results of Trent (in Rs. Cr.),,Yearly Results of Vedanta (in Rs. Cr.),
15,,--,--,--,--,--,,2023,balrampurchinimills,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,380.50,382.38,360.14,303.84,309.20,,2023,balrampurchinimills,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,382.82,585.83,601.96,580.55,593.23,,2023,balrampurchinimills,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,62.79,47.91,33.45,38.55,42.74,,2023,balrampurchinimills,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,445.62,633.74,635.40,619.10,635.97,,2023,balrampurchinimills,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,48.65,30.87,39.30,64.17,40.94,,2023,balrampurchinimills,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,396.97,602.88,596.11,554.93,595.03,,2023,balrampurchinimills,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,--,52.74,--,--,--,,2023,balrampurchinimills,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,396.97,655.61,596.11,554.93,595.03,,2023,balrampurchinimills,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,121.44,140.96,126.34,45.65,24.39,,2023,balrampurchinimills,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,275.53,514.66,469.77,509.28,570.64,,2023,balrampurchinimills,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2023,balrampurchinimills,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2023,balrampurchinimills,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,275.53,514.66,469.77,509.28,570.64,,2023,balrampurchinimills,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,20.17,20.40,21.00,22.00,22.84,,2023,balrampurchinimills,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2855.26,2737.76,2542.85,2348.41,2059.86,,2023,balrampurchinimills,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,250.00,250.00,250.00,250.00,250.00,,2023,balrampurchinimills,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2023,balrampurchinimills,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,13.51,24.86,22.01,22.98,24.98,,2023,balrampurchinimills,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,13.51,24.86,22.01,22.98,24.98,,2023,balrampurchinimills,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2023,balrampurchinimills,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,13.51,24.86,22.01,22.98,24.98,,2023,balrampurchinimills,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,13.51,24.86,22.01,22.98,24.98,,2023,balrampurchinimills,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2023,balrampurchinimills,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2023,balrampurchinimills,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2023,balrampurchinimills,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2023,balrampurchinimills,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2023,balrampurchinimills,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2023,balrampurchinimills,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2023,balrampurchinimills,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2023,balrampurchinimills,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2023,balrampurchinimills,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2023,balrampurchinimills,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2023,balrampurchinimills,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2023,balrampurchinimills,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2018,bhartiairtel,,,,,Yearly Results of Bharti Airtel (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,84720.10,70641.90,64325.90,54317.10,49608.00,,2018,bhartiairtel,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2018,bhartiairtel,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,84720.10,70641.90,64325.90,54317.10,49608.00,,2018,bhartiairtel,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2018,bhartiairtel,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,--,--,--,--,--,,2018,bhartiairtel,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,--,--,--,--,--,,2018,bhartiairtel,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,--,--,--,--,--,,2018,bhartiairtel,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2018,bhartiairtel,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1966.40,1594.00,1664.50,1520.20,1471.00,,2018,bhartiairtel,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,14531.80,24592.40,21997.50,20392.10,15087.60,,2018,bhartiairtel,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2018,bhartiairtel,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,4638.30,3149.70,2064.90,1818.00,2561.90,,2018,bhartiairtel,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2018,bhartiairtel,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2018,bhartiairtel,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2018,bhartiairtel,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,34316.70,30807.40,32612.40,30845.30,33273.50,,2018,bhartiairtel,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,29266.90,10498.40,5986.60,-258.50,-2786.00,,2018,bhartiairtel,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,2633.80,1422.80,2387.90,313.20,250.70,,2018,bhartiairtel,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,31900.70,11921.20,8374.50,54.70,-2535.30,,2018,bhartiairtel,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,26355.00,14145.80,11816.70,9533.80,5473.30,,2018,bhartiairtel,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,5545.70,-2224.60,-3442.20,-9479.10,-8008.60,,2018,bhartiairtel,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,-4276.40,-2009.60,-15023.00,-41541.80,2804.90,,2018,bhartiairtel,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,1269.30,-4234.20,-18465.20,-51020.90,-5203.70,,2018,bhartiairtel,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,1358.90,-609.20,6732.40,-14932.70,-3374.70,,2018,bhartiairtel,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2018,bhartiairtel,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2018,bhartiairtel,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2018,bhartiairtel,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2018,bhartiairtel,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2836.60,2795.00,2746.00,2727.80,1998.70,,2018,bhartiairtel,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,75639.30,76134.80,74614.10,98347.20,96307.20,,2018,bhartiairtel,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,80.00,60.00,--,40.00,50.00,,2018,bhartiairtel,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2018,bhartiairtel,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,-0.16,-6.53,-46.18,-71.08,-4.58,,2018,bhartiairtel,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,-0.16,-6.53,-46.18,-71.08,-4.58,,2018,bhartiairtel,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2018,bhartiairtel,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,-0.16,-6.53,-46.18,-71.08,-4.58,,2018,bhartiairtel,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,-0.16,-6.53,-46.18,-71.08,-4.58,,2018,bhartiairtel,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2018,bhartiairtel,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2018,bhartiairtel,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2018,bhartiairtel,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2018,bhartiairtel,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2018,bhartiairtel,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2018,bhartiairtel,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2018,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2018,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2018,bhartiairtel,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2018,bhartiairtel,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2018,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2018,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2019,bhartiairtel,,,,,Yearly Results of Bharti Airtel (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,84720.10,70641.90,64325.90,54317.10,49608.00,,2019,bhartiairtel,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2019,bhartiairtel,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,84720.10,70641.90,64325.90,54317.10,49608.00,,2019,bhartiairtel,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2019,bhartiairtel,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,--,--,--,--,--,,2019,bhartiairtel,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,--,--,--,--,--,,2019,bhartiairtel,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,--,--,--,--,--,,2019,bhartiairtel,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2019,bhartiairtel,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1966.40,1594.00,1664.50,1520.20,1471.00,,2019,bhartiairtel,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,14531.80,24592.40,21997.50,20392.10,15087.60,,2019,bhartiairtel,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2019,bhartiairtel,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,4638.30,3149.70,2064.90,1818.00,2561.90,,2019,bhartiairtel,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2019,bhartiairtel,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2019,bhartiairtel,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2019,bhartiairtel,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,34316.70,30807.40,32612.40,30845.30,33273.50,,2019,bhartiairtel,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,29266.90,10498.40,5986.60,-258.50,-2786.00,,2019,bhartiairtel,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,2633.80,1422.80,2387.90,313.20,250.70,,2019,bhartiairtel,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,31900.70,11921.20,8374.50,54.70,-2535.30,,2019,bhartiairtel,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,26355.00,14145.80,11816.70,9533.80,5473.30,,2019,bhartiairtel,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,5545.70,-2224.60,-3442.20,-9479.10,-8008.60,,2019,bhartiairtel,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,-4276.40,-2009.60,-15023.00,-41541.80,2804.90,,2019,bhartiairtel,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,1269.30,-4234.20,-18465.20,-51020.90,-5203.70,,2019,bhartiairtel,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,1358.90,-609.20,6732.40,-14932.70,-3374.70,,2019,bhartiairtel,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2019,bhartiairtel,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2019,bhartiairtel,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2019,bhartiairtel,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,-89.60,-3625.00,-25197.60,-36088.20,-1829.00,,2019,bhartiairtel,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2836.60,2795.00,2746.00,2727.80,1998.70,,2019,bhartiairtel,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,75639.30,76134.80,74614.10,98347.20,96307.20,,2019,bhartiairtel,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,80.00,60.00,--,40.00,50.00,,2019,bhartiairtel,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2019,bhartiairtel,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,-0.16,-6.53,-46.18,-71.08,-4.58,,2019,bhartiairtel,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,-0.16,-6.53,-46.18,-71.08,-4.58,,2019,bhartiairtel,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2019,bhartiairtel,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,-0.16,-6.53,-46.18,-71.08,-4.58,,2019,bhartiairtel,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,-0.16,-6.53,-46.18,-71.08,-4.58,,2019,bhartiairtel,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2019,bhartiairtel,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2019,bhartiairtel,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2019,bhartiairtel,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2019,bhartiairtel,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2019,bhartiairtel,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2019,bhartiairtel,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2019,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2019,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2019,bhartiairtel,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2019,bhartiairtel,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2019,bhartiairtel,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2019,bhartiairtel,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2020,bhartiairtel,,,,,Yearly Results of Bharti Airtel (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,84720.10,70641.90,64325.90,54317.10,49608.00,,2020,bhartiairtel,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2020,bhartiairtel,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,84720.10,70641.90,64325.90,54317.10,49608.00,,2020,bhartiairtel,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2020,bhartiairtel,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,--,--,--,--,--,,2020,bhartiairtel,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,--,--,--,--,--,,2020,bhartiairtel,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,--,--,--,--,--,,2020,bhartiairtel,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2020,bhartiairtel,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1966.40,1594.00,1664.50,1520.20,1471.00,,2020,bhartiairtel,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,14531.80,24592.40,21997.50,20392.10,15087.60,,2020,bhartiairtel,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2020,bhartiairtel,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,4638.30,3149.70,2064.90,1818.00,2561.90,,2020,bhartiairtel,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2020,bhartiairtel,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2020,bhartiairtel,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2020,bhartiairtel,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,34316.70,30807.40,32612.40,30845.30,33273.50,,2020,bhartiairtel,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,29266.90,10498.40,5986.60,-258.50,-2786.00,,2020,bhartiairtel,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
