,0,1,2,3,Stock,4,5,6
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,deepaknitrite,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,deepaknitrite,--,--,
49,b) Non-encumbered,,,,deepaknitrite,,,
50,- Number of shares (Crores).,--,--,--,deepaknitrite,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,deepaknitrite,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,deepaknitrite,--,--,
0,Yearly Results of Delta Corp (in Rs. Cr.),Mar '23,Mar '22,Mar '21,deltacorp,Mar '20,Mar '19,
1,Net Sales/Income from operations,1020.77,616.13,418.87,deltacorp,773.41,797.81,
2,Other Operating Income,--,--,--,deltacorp,--,--,
3,Total Income From Operations,1020.77,616.13,418.87,deltacorp,773.41,797.81,
4,EXPENDITURE,,,,deltacorp,,,
5,Consumption of Raw Materials,113.03,66.09,30.22,deltacorp,56.02,65.13,
6,Purchase of Traded Goods,--,--,--,deltacorp,--,--,
7,Increase/Decrease in Stocks,-48.21,-29.38,-8.51,deltacorp,-10.22,-26.44,
8,Power & Fuel,--,--,--,deltacorp,--,--,
9,Employees Cost,159.05,122.94,93.65,deltacorp,112.16,110.02,
10,Depreciation,58.65,56.08,52.66,deltacorp,48.53,37.68,
11,Excise Duty,--,--,--,deltacorp,--,--,
12,Admin. And Selling Expenses,--,--,--,deltacorp,--,--,
13,R & D Expenses,--,--,--,deltacorp,--,--,
14,Provisions And Contingencies,--,--,--,deltacorp,--,--,
15,Exp. Capitalised,--,--,--,deltacorp,--,--,
16,Other Expenses,446.56,326.83,290.49,deltacorp,339.66,330.39,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",291.69,73.57,-39.64,deltacorp,227.26,281.03,
18,Other Income,46.39,38.08,35.46,deltacorp,33.34,31.29,
19,"P/L Before Int., Excpt. Items & Tax",338.08,111.65,-4.18,deltacorp,260.60,312.32,
20,Interest,9.61,5.89,5.44,deltacorp,5.06,1.78,
21,P/L Before Exceptional Items & Tax,328.47,105.76,-9.62,deltacorp,255.54,310.54,
22,Exceptional Items,--,-7.78,-8.96,deltacorp,0.70,4.27,
23,P/L Before Tax,328.47,97.98,-18.58,deltacorp,256.24,314.81,
24,Tax,66.98,29.76,7.51,deltacorp,71.46,114.13,
25,P/L After Tax from Ordinary Activities,261.49,68.22,-26.09,deltacorp,184.78,200.68,
26,Prior Year Adjustments,--,--,--,deltacorp,--,--,
27,Extra Ordinary Items,--,--,--,deltacorp,--,-4.24,
28,Net Profit/(Loss) For the Period,261.49,68.22,-26.09,deltacorp,184.78,196.44,
29,Minority Interest,-0.94,-0.85,1.41,deltacorp,0.85,0.32,
30,Share Of P/L Of Associates,0.82,-0.38,0.58,deltacorp,--,--,
31,Net P/L After M.I & Associates,261.37,66.99,-24.10,deltacorp,185.63,196.76,
32,Equity Share Capital,26.76,26.73,26.68,deltacorp,27.09,27.09,
33,Reserves Excluding Revaluation Reserves,2151.15,1953.35,1915.17,deltacorp,1927.51,1915.18,
34,Equity Dividend Rate (%),--,--,--,deltacorp,--,--,
35,EPS Before Extra Ordinary,,,,deltacorp,,,
36,Basic EPS,9.77,2.51,-0.90,deltacorp,6.85,7.30,
37,Diluted EPS,9.75,2.49,-0.90,deltacorp,6.85,7.29,
38,EPS After Extra Ordinary,,,,deltacorp,,,
39,Basic EPS.,9.77,2.51,-0.90,deltacorp,6.85,7.30,
40,Diluted EPS.,9.75,2.49,-0.90,deltacorp,6.85,7.29,
41,Public Share Holding,,,,deltacorp,,,
42,No Of Shares (Crores),--,--,--,deltacorp,--,--,
43,Share Holding (%),--,--,--,deltacorp,--,--,
44,Promoters and Promoter Group Shareholding,,,,deltacorp,,,
45,a) Pledged/Encumbered,,,,deltacorp,,,
46,- Number of shares (Crores),--,--,--,deltacorp,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,deltacorp,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,deltacorp,--,--,
49,b) Non-encumbered,,,,deltacorp,,,
50,- Number of shares (Crores).,--,--,--,deltacorp,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,deltacorp,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,deltacorp,--,--,
0,Yearly Results of Divis Laboratories (in Rs. Cr.),Mar '23,Mar '22,Mar '21,divislaboratories,Mar '20,Mar '19,
1,Net Sales/Income from operations,7767.51,8959.83,6969.40,divislaboratories,5394.42,4946.26,
2,Other Operating Income,--,--,--,divislaboratories,--,--,
3,Total Income From Operations,7767.51,8959.83,6969.40,divislaboratories,5394.42,4946.26,
4,EXPENDITURE,,,,divislaboratories,,,
5,Consumption of Raw Materials,3008.36,3476.56,2397.44,divislaboratories,2198.41,2103.89,
6,Purchase of Traded Goods,22.33,14.41,5.31,divislaboratories,16.11,25.92,
7,Increase/Decrease in Stocks,23.03,-523.83,-78.67,divislaboratories,-105.98,-304.59,
8,Power & Fuel,--,--,--,divislaboratories,--,--,
9,Employees Cost,975.02,946.16,825.76,divislaboratories,621.05,542.27,
10,Depreciation,343.18,311.51,255.59,divislaboratories,186.24,168.90,
11,Excise Duty,--,--,--,divislaboratories,--,--,
12,Admin. And Selling Expenses,--,--,--,divislaboratories,--,--,
13,R & D Expenses,--,--,--,divislaboratories,--,--,
14,Provisions And Contingencies,--,--,--,divislaboratories,--,--,
15,Exp. Capitalised,--,--,--,divislaboratories,--,--,
16,Other Expenses,1370.95,1164.59,959.62,divislaboratories,842.66,706.93,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",2024.64,3570.43,2604.35,divislaboratories,1635.93,1702.94,
18,Other Income,344.66,113.87,62.56,divislaboratories,189.63,155.63,
19,"P/L Before Int., Excpt. Items & Tax",2369.30,3684.30,2666.91,divislaboratories,1825.56,1858.57,
20,Interest,0.67,0.80,0.87,divislaboratories,6.10,3.50,
21,P/L Before Exceptional Items & Tax,2368.63,3683.50,2666.04,divislaboratories,1819.46,1855.07,
22,Exceptional Items,--,--,--,divislaboratories,--,--,
23,P/L Before Tax,2368.63,3683.50,2666.04,divislaboratories,1819.46,1855.07,
24,Tax,545.25,723.05,681.75,divislaboratories,442.92,502.33,
25,P/L After Tax from Ordinary Activities,1823.38,2960.45,1984.29,divislaboratories,1376.54,1352.74,
26,Prior Year Adjustments,--,--,--,divislaboratories,--,--,
27,Extra Ordinary Items,--,--,--,divislaboratories,--,--,
28,Net Profit/(Loss) For the Period,1823.38,2960.45,1984.29,divislaboratories,1376.54,1352.74,
29,Minority Interest,--,--,--,divislaboratories,--,--,
30,Share Of P/L Of Associates,--,--,--,divislaboratories,--,--,
31,Net P/L After M.I & Associates,1823.38,2960.45,1984.29,divislaboratories,1376.54,1352.74,
32,Equity Share Capital,53.09,53.09,53.09,divislaboratories,53.09,53.09,
33,Reserves Excluding Revaluation Reserves,12714.00,11675.09,9241.52,divislaboratories,7256.83,6904.06,
34,Equity Dividend Rate (%),--,--,--,divislaboratories,--,--,
35,EPS Before Extra Ordinary,,,,divislaboratories,,,
36,Basic EPS,68.69,111.52,74.75,divislaboratories,51.85,50.96,
37,Diluted EPS,68.69,111.52,74.75,divislaboratories,51.85,50.96,
38,EPS After Extra Ordinary,,,,divislaboratories,,,
39,Basic EPS.,68.69,111.52,74.75,divislaboratories,51.85,50.96,
40,Diluted EPS.,68.69,111.52,74.75,divislaboratories,51.85,50.96,
41,Public Share Holding,,,,divislaboratories,,,
42,No Of Shares (Crores),--,--,--,divislaboratories,--,--,
43,Share Holding (%),--,--,--,divislaboratories,--,--,
44,Promoters and Promoter Group Shareholding,,,,divislaboratories,,,
45,a) Pledged/Encumbered,,,,divislaboratories,,,
46,- Number of shares (Crores),--,--,--,divislaboratories,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,divislaboratories,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,divislaboratories,--,--,
49,b) Non-encumbered,,,,divislaboratories,,,
50,- Number of shares (Crores).,--,--,--,divislaboratories,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,divislaboratories,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,divislaboratories,--,--,
0,Yearly Results of Dixon Technologies (in Rs. Cr.),Mar '23,Mar '22,Mar '21,dixontechnologies,Mar '20,Mar '19,
1,Net Sales/Income from operations,12192.01,10697.08,6448.17,dixontechnologies,4400.12,2984.45,
2,Other Operating Income,--,--,--,dixontechnologies,--,--,
3,Total Income From Operations,12192.01,10697.08,6448.17,dixontechnologies,4400.12,2984.45,
4,EXPENDITURE,,,,dixontechnologies,,,
5,Consumption of Raw Materials,11015.17,9889.66,5753.41,dixontechnologies,3913.34,2594.61,
6,Purchase of Traded Goods,--,--,--,dixontechnologies,--,--,
7,Increase/Decrease in Stocks,5.57,-110.42,16.31,dixontechnologies,-53.14,14.66,
8,Power & Fuel,--,--,--,dixontechnologies,--,--,
9,Employees Cost,251.67,197.79,137.07,dixontechnologies,117.96,83.87,
10,Depreciation,114.63,83.95,43.72,dixontechnologies,36.53,21.65,
11,Excise Duty,--,--,--,dixontechnologies,--,--,
12,Admin. And Selling Expenses,--,--,--,dixontechnologies,--,--,
13,R & D Expenses,--,--,--,dixontechnologies,--,--,
14,Provisions And Contingencies,--,--,--,dixontechnologies,--,--,
15,Exp. Capitalised,--,--,--,dixontechnologies,--,--,
16,Other Expenses,406.85,340.94,254.79,dixontechnologies,198.89,156.44,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",398.12,295.16,242.87,dixontechnologies,186.54,113.22,
18,Other Income,5.61,3.81,1.58,dixontechnologies,5.20,5.63,
19,"P/L Before Int., Excpt. Items & Tax",403.73,298.97,244.45,dixontechnologies,191.74,118.85,
20,Interest,60.57,44.20,27.44,dixontechnologies,34.97,25.04,
21,P/L Before Exceptional Items & Tax,343.16,254.77,217.01,dixontechnologies,156.77,93.81,
22,Exceptional Items,--,--,--,dixontechnologies,--,--,
23,P/L Before Tax,343.16,254.77,217.01,dixontechnologies,156.77,93.81,
24,Tax,89.70,64.38,57.21,dixontechnologies,36.27,30.46,
25,P/L After Tax from Ordinary Activities,253.46,190.39,159.80,dixontechnologies,120.50,63.35,
26,Prior Year Adjustments,--,--,--,dixontechnologies,--,--,
27,Extra Ordinary Items,--,--,--,dixontechnologies,--,--,
28,Net Profit/(Loss) For the Period,253.46,190.39,159.80,dixontechnologies,120.50,63.35,
29,Minority Interest,0.44,-0.16,--,dixontechnologies,--,--,
30,Share Of P/L Of Associates,1.62,-0.06,--,dixontechnologies,--,--,
31,Net P/L After M.I & Associates,255.52,190.17,159.80,dixontechnologies,120.50,63.35,
32,Equity Share Capital,11.91,11.87,11.71,dixontechnologies,11.57,11.33,
33,Reserves Excluding Revaluation Reserves,1273.00,984.91,725.60,dixontechnologies,529.76,366.89,
34,Equity Dividend Rate (%),--,--,--,dixontechnologies,--,--,
35,EPS Before Extra Ordinary,,,,dixontechnologies,,,
36,Basic EPS,42.92,32.31,27.49,dixontechnologies,105.54,55.95,
37,Diluted EPS,42.62,32.00,26.87,dixontechnologies,102.70,55.14,
38,EPS After Extra Ordinary,,,,dixontechnologies,,,
39,Basic EPS.,42.92,32.31,27.49,dixontechnologies,105.54,55.95,
40,Diluted EPS.,42.62,32.00,26.87,dixontechnologies,102.70,55.14,
41,Public Share Holding,,,,dixontechnologies,,,
42,No Of Shares (Crores),--,--,--,dixontechnologies,--,--,
43,Share Holding (%),--,--,--,dixontechnologies,--,--,
44,Promoters and Promoter Group Shareholding,,,,dixontechnologies,,,
45,a) Pledged/Encumbered,,,,dixontechnologies,,,
46,- Number of shares (Crores),--,--,--,dixontechnologies,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,dixontechnologies,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,dixontechnologies,--,--,
49,b) Non-encumbered,,,,dixontechnologies,,,
50,- Number of shares (Crores).,--,--,--,dixontechnologies,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,dixontechnologies,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,dixontechnologies,--,--,
0,Yearly Results of Dr Lal PathLabs (in Rs. Cr.),Mar '23,Mar '22,Mar '21,drlalpathlabs,Mar '20,Mar '19,
1,Net Sales/Income from operations,2016.90,2087.40,1581.30,drlalpathlabs,1330.40,1203.40,
2,Other Operating Income,--,--,--,drlalpathlabs,--,--,
3,Total Income From Operations,2016.90,2087.40,1581.30,drlalpathlabs,1330.40,1203.40,
4,EXPENDITURE,,,,drlalpathlabs,,,
5,Consumption of Raw Materials,447.20,502.30,397.30,drlalpathlabs,298.70,262.40,
6,Purchase of Traded Goods,--,--,--,drlalpathlabs,--,--,
7,Increase/Decrease in Stocks,--,--,--,drlalpathlabs,--,--,
8,Power & Fuel,--,--,--,drlalpathlabs,--,--,
9,Employees Cost,376.50,364.90,273.70,drlalpathlabs,242.60,208.30,
10,Depreciation,150.20,108.10,77.20,drlalpathlabs,72.80,38.20,
11,Excise Duty,--,--,--,drlalpathlabs,--,--,
12,Admin. And Selling Expenses,--,--,--,drlalpathlabs,--,--,
13,R & D Expenses,--,--,--,drlalpathlabs,--,--,
14,Provisions And Contingencies,--,--,--,drlalpathlabs,--,--,
15,Exp. Capitalised,--,--,--,drlalpathlabs,--,--,
16,Other Expenses,703.30,659.50,474.00,drlalpathlabs,445.50,439.20,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",339.70,452.60,359.10,drlalpathlabs,270.80,255.30,
18,Other Income,41.70,52.50,51.30,drlalpathlabs,55.00,46.00,
19,"P/L Before Int., Excpt. Items & Tax",381.40,505.10,410.40,drlalpathlabs,325.80,301.30,
20,Interest,37.50,30.20,16.00,drlalpathlabs,15.30,0.80,
21,P/L Before Exceptional Items & Tax,343.90,474.90,394.40,drlalpathlabs,310.50,300.50,
22,Exceptional Items,--,--,--,drlalpathlabs,--,--,
23,P/L Before Tax,343.90,474.90,394.40,drlalpathlabs,310.50,300.50,
24,Tax,102.80,124.60,97.90,drlalpathlabs,82.90,100.00,
25,P/L After Tax from Ordinary Activities,241.10,350.30,296.50,drlalpathlabs,227.60,200.50,
26,Prior Year Adjustments,--,--,--,drlalpathlabs,--,--,
27,Extra Ordinary Items,--,--,--,drlalpathlabs,--,--,
28,Net Profit/(Loss) For the Period,241.10,350.30,296.50,drlalpathlabs,227.60,200.50,
29,Minority Interest,-2.20,-5.50,-4.90,drlalpathlabs,-1.70,-1.30,
30,Share Of P/L Of Associates,--,--,--,drlalpathlabs,--,--,
31,Net P/L After M.I & Associates,238.90,344.80,291.60,drlalpathlabs,225.90,199.20,
32,Equity Share Capital,83.40,83.30,83.30,drlalpathlabs,83.30,83.30,
33,Reserves Excluding Revaluation Reserves,1524.67,1366.45,1121.91,drlalpathlabs,916.70,862.15,
34,Equity Dividend Rate (%),--,--,--,drlalpathlabs,--,--,
35,EPS Before Extra Ordinary,,,,drlalpathlabs,,,
36,Basic EPS,28.82,41.70,35.33,drlalpathlabs,27.42,24.19,
37,Diluted EPS,28.74,41.57,35.25,drlalpathlabs,27.37,24.15,
38,EPS After Extra Ordinary,,,,drlalpathlabs,,,
39,Basic EPS.,28.82,41.70,35.33,drlalpathlabs,27.42,24.19,
40,Diluted EPS.,28.74,41.57,35.25,drlalpathlabs,27.37,24.15,
41,Public Share Holding,,,,drlalpathlabs,,,
42,No Of Shares (Crores),--,--,--,drlalpathlabs,--,--,
43,Share Holding (%),--,--,--,drlalpathlabs,--,--,
44,Promoters and Promoter Group Shareholding,,,,drlalpathlabs,,,
45,a) Pledged/Encumbered,,,,drlalpathlabs,,,
46,- Number of shares (Crores),--,--,--,drlalpathlabs,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,drlalpathlabs,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,drlalpathlabs,--,--,
49,b) Non-encumbered,,,,drlalpathlabs,,,
50,- Number of shares (Crores).,--,--,--,drlalpathlabs,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,drlalpathlabs,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,drlalpathlabs,--,--,
0,Yearly Results of Dr Reddys Laboratories (in Rs. Cr.),Mar '23,Mar '22,Mar '21,drreddyslaboratories,Mar '20,Mar '19,
1,Net Sales/Income from operations,23459.50,21439.10,19024.30,drreddyslaboratories,17460.00,14870.60,
2,Other Operating Income,1210.20,106.10,23.20,drreddyslaboratories,57.00,577.60,
3,Total Income From Operations,24669.70,21545.20,19047.50,drreddyslaboratories,17517.00,15448.20,
4,EXPENDITURE,,,,drreddyslaboratories,,,
5,Consumption of Raw Materials,4219.80,4312.40,4295.80,drreddyslaboratories,2984.80,2889.40,
6,Purchase of Traded Goods,3367.00,3483.70,2573.60,drreddyslaboratories,2545.90,1880.80,
7,Increase/Decrease in Stocks,70.90,-353.90,-790.50,drreddyslaboratories,23.70,-275.40,
8,Power & Fuel,--,--,--,drreddyslaboratories,--,--,
9,Employees Cost,4646.60,3885.80,3629.90,drreddyslaboratories,3380.20,3356.20,
10,Depreciation,1250.20,1165.20,1228.80,drreddyslaboratories,1163.10,1134.80,
11,Excise Duty,--,--,--,drreddyslaboratories,--,--,
12,Admin. And Selling Expenses,5946.50,5519.10,4792.00,drreddyslaboratories,--,--,
13,R & D Expenses,--,--,--,drreddyslaboratories,--,--,
14,Provisions And Contingencies,69.90,930.40,676.80,drreddyslaboratories,--,--,
15,Exp. Capitalised,--,--,--,drreddyslaboratories,--,--,
16,Other Expenses,--,--,--,drreddyslaboratories,6112.00,4419.00,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",5098.80,2602.50,2641.10,drreddyslaboratories,1307.30,2043.40,
18,Other Income,1055.50,484.40,291.40,drreddyslaboratories,620.60,337.50,
19,"P/L Before Int., Excpt. Items & Tax",6154.30,3086.90,2932.50,drreddyslaboratories,1927.90,2380.90,
20,Interest,142.80,95.80,97.00,drreddyslaboratories,98.30,88.90,
21,P/L Before Exceptional Items & Tax,6011.50,2991.10,2835.50,drreddyslaboratories,1829.60,2292.00,
22,Exceptional Items,--,--,--,drreddyslaboratories,--,--,
23,P/L Before Tax,6011.50,2991.10,2835.50,drreddyslaboratories,1829.60,2292.00,
24,Tax,1541.20,878.90,931.90,drreddyslaboratories,-140.30,385.80,
25,P/L After Tax from Ordinary Activities,4470.30,2112.20,1903.60,drreddyslaboratories,1969.90,1906.20,
26,Prior Year Adjustments,--,--,--,drreddyslaboratories,--,--,
27,Extra Ordinary Items,--,--,--,drreddyslaboratories,--,--,
28,Net Profit/(Loss) For the Period,4470.30,2112.20,1903.60,drreddyslaboratories,1969.90,1906.20,
29,Minority Interest,--,--,--,drreddyslaboratories,--,--,
30,Share Of P/L Of Associates,37.00,70.30,48.00,drreddyslaboratories,56.10,43.80,
31,Net P/L After M.I & Associates,4507.30,2182.50,1951.60,drreddyslaboratories,2026.00,1950.00,
32,Equity Share Capital,83.30,83.20,83.20,drreddyslaboratories,83.10,83.00,
33,Reserves Excluding Revaluation Reserves,23202.80,19129.20,17558.50,drreddyslaboratories,15515.70,13940.60,
34,Equity Dividend Rate (%),--,--,--,drreddyslaboratories,--,--,
35,EPS Before Extra Ordinary,,,,drreddyslaboratories,,,
36,Basic EPS,271.47,131.57,117.67,drreddyslaboratories,122.22,117.53,
37,Diluted EPS,270.90,131.21,117.34,drreddyslaboratories,121.99,117.53,
38,EPS After Extra Ordinary,,,,drreddyslaboratories,,,
39,Basic EPS.,271.47,131.57,117.67,drreddyslaboratories,122.22,117.53,
40,Diluted EPS.,270.90,131.21,117.34,drreddyslaboratories,121.99,117.53,
41,Public Share Holding,,,,drreddyslaboratories,,,
42,No Of Shares (Crores),--,--,--,drreddyslaboratories,--,--,
43,Share Holding (%),--,--,--,drreddyslaboratories,--,--,
44,Promoters and Promoter Group Shareholding,,,,drreddyslaboratories,,,
45,a) Pledged/Encumbered,,,,drreddyslaboratories,,,
46,- Number of shares (Crores),--,--,--,drreddyslaboratories,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,drreddyslaboratories,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,drreddyslaboratories,--,--,
49,b) Non-encumbered,,,,drreddyslaboratories,,,
50,- Number of shares (Crores).,--,--,--,drreddyslaboratories,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,drreddyslaboratories,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,drreddyslaboratories,--,--,
0,Yearly Results of Eicher Motors (in Rs. Cr.),Mar '23,Mar '22,Mar '21,eichermotors,Mar '20,Mar '19,
1,Net Sales/Income from operations,14175.90,10127.07,8661.56,eichermotors,9073.55,9714.44,
2,Other Operating Income,266.28,170.76,58.79,eichermotors,80.03,79.62,
3,Total Income From Operations,14442.18,10297.83,8720.35,eichermotors,9153.58,9794.06,
4,EXPENDITURE,,,,eichermotors,,,
5,Consumption of Raw Materials,7843.95,5765.24,5052.57,eichermotors,4661.17,5055.89,
6,Purchase of Traded Goods,431.20,339.03,266.10,eichermotors,250.68,211.65,
7,Increase/Decrease in Stocks,-63.25,-148.59,-205.90,eichermotors,84.09,-210.16,
8,Power & Fuel,--,--,--,eichermotors,--,--,
9,Employees Cost,1001.93,821.02,843.23,eichermotors,795.78,702.44,
10,Depreciation,526.21,451.93,450.73,eichermotors,381.54,300.28,
11,Excise Duty,--,--,--,eichermotors,--,--,
12,Admin. And Selling Expenses,--,--,--,eichermotors,--,--,
13,R & D Expenses,--,--,--,eichermotors,--,--,
14,Provisions And Contingencies,--,--,--,eichermotors,--,--,
15,Exp. Capitalised,--,--,--,eichermotors,--,--,
16,Other Expenses,1784.77,1348.88,983.10,eichermotors,1181.51,1131.13,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",2917.37,1720.32,1330.52,eichermotors,1798.81,2602.83,
18,Other Income,595.11,440.82,453.19,eichermotors,543.25,443.39,
19,"P/L Before Int., Excpt. Items & Tax",3512.48,2161.14,1783.71,eichermotors,2342.06,3046.22,
20,Interest,28.02,18.78,16.45,eichermotors,18.88,7.33,
21,P/L Before Exceptional Items & Tax,3484.46,2142.36,1767.26,eichermotors,2323.18,3038.89,
22,Exceptional Items,--,--,--,eichermotors,--,--,
23,P/L Before Tax,3484.46,2142.36,1767.26,eichermotors,2323.18,3038.89,
24,Tax,885.69,525.91,451.50,eichermotors,527.45,1077.04,
25,P/L After Tax from Ordinary Activities,2598.77,1616.45,1315.76,eichermotors,1795.73,1961.85,
26,Prior Year Adjustments,--,--,--,eichermotors,--,--,
27,Extra Ordinary Items,--,--,--,eichermotors,--,--,
28,Net Profit/(Loss) For the Period,2598.77,1616.45,1315.76,eichermotors,1795.73,1961.85,
29,Minority Interest,--,--,--,eichermotors,--,--,
30,Share Of P/L Of Associates,315.17,60.15,31.13,eichermotors,31.71,240.88,
31,Net P/L After M.I & Associates,2913.94,1676.60,1346.89,eichermotors,1827.44,2202.73,
32,Equity Share Capital,27.35,27.34,27.33,eichermotors,27.30,27.28,
33,Reserves Excluding Revaluation Reserves,14962.93,12580.66,11410.75,eichermotors,9953.63,8891.44,
34,Equity Dividend Rate (%),--,--,--,eichermotors,--,--,
35,EPS Before Extra Ordinary,,,,eichermotors,,,
36,Basic EPS,106.56,61.33,49.30,eichermotors,669.52,814.18,
37,Diluted EPS,106.38,61.26,49.24,eichermotors,669.19,813.28,
38,EPS After Extra Ordinary,,,,eichermotors,,,
39,Basic EPS.,106.56,61.33,49.30,eichermotors,669.52,807.76,
40,Diluted EPS.,106.38,61.26,49.24,eichermotors,669.19,806.86,
41,Public Share Holding,,,,eichermotors,,,
42,No Of Shares (Crores),--,--,--,eichermotors,--,--,
43,Share Holding (%),--,--,--,eichermotors,--,--,
44,Promoters and Promoter Group Shareholding,,,,eichermotors,,,
45,a) Pledged/Encumbered,,,,eichermotors,,,
46,- Number of shares (Crores),--,--,--,eichermotors,--,--,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,eichermotors,--,--,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,eichermotors,--,--,
49,b) Non-encumbered,,,,eichermotors,,,
50,- Number of shares (Crores).,--,--,--,eichermotors,--,--,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,eichermotors,--,--,
52,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,eichermotors,--,--,
0,Yearly Results of Escorts Kubota (in Rs. Cr.),Mar '23,Mar '22,Mar '21,escortskubota,Mar '20,Mar '19,
1,Net Sales/Income from operations,8428.69,7238.43,7014.42,escortskubota,5810.09,6262.02,
2,Other Operating Income,--,--,--,escortskubota,--,--,
3,Total Income From Operations,8428.69,7238.43,7014.42,escortskubota,5810.09,6262.02,
4,EXPENDITURE,,,,escortskubota,,,
5,Consumption of Raw Materials,5776.18,4534.63,4073.07,escortskubota,3476.31,4077.48,
6,Purchase of Traded Goods,510.35,510.82,441.65,escortskubota,370.37,403.99,
7,Increase/Decrease in Stocks,-163.65,-66.94,129.92,escortskubota,-5.58,-204.54,
8,Power & Fuel,--,--,--,escortskubota,--,--,
9,Employees Cost,607.40,541.90,546.91,escortskubota,520.51,484.73,
10,Depreciation,150.06,132.06,118.28,escortskubota,107.22,87.21,
11,Excise Duty,--,--,--,escortskubota,--,--,
12,Admin. And Selling Expenses,--,--,--,escortskubota,--,--,
13,R & D Expenses,--,--,--,escortskubota,--,--,
14,Provisions And Contingencies,--,--,--,escortskubota,--,--,
15,Exp. Capitalised,--,--,--,escortskubota,--,--,
16,Other Expenses,920.89,766.83,696.11,escortskubota,786.08,775.83,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",627.46,819.13,1008.48,escortskubota,555.18,637.32,
18,Other Income,280.93,218.02,160.38,escortskubota,97.60,92.40,
19,"P/L Before Int., Excpt. Items & Tax",908.39,1037.15,1168.86,escortskubota,652.78,729.72,
20,Interest,13.27,14.97,13.34,escortskubota,17.23,19.54,
21,P/L Before Exceptional Items & Tax,895.12,1022.18,1155.52,escortskubota,635.55,710.18,
22,Exceptional Items,-53.05,--,--,escortskubota,-9.22,5.56,
23,P/L Before Tax,842.07,1022.18,1155.52,escortskubota,626.33,715.74,
24,Tax,197.94,257.22,283.15,escortskubota,153.53,237.11,
25,P/L After Tax from Ordinary Activities,644.13,764.96,872.37,escortskubota,472.80,478.63,
26,Prior Year Adjustments,--,--,--,escortskubota,--,--,
27,Extra Ordinary Items,--,--,--,escortskubota,--,1.23,
28,Net Profit/(Loss) For the Period,644.13,764.96,872.37,escortskubota,472.80,479.86,
29,Minority Interest,0.13,0.86,-0.17,escortskubota,0.53,1.03,
30,Share Of P/L Of Associates,-7.48,-29.35,-0.74,escortskubota,-1.08,-1.96,
31,Net P/L After M.I & Associates,636.78,736.47,871.46,escortskubota,472.25,478.93,
32,Equity Share Capital,131.94,131.94,134.83,escortskubota,122.58,122.58,
33,Reserves Excluding Revaluation Reserves,8042.47,7467.96,4891.30,escortskubota,2987.72,2550.91,
34,Equity Dividend Rate (%),--,--,--,escortskubota,--,--,
35,EPS Before Extra Ordinary,,,,escortskubota,,,
36,Basic EPS,58.85,74.06,92.15,escortskubota,55.04,55.82,
37,Diluted EPS,58.76,73.73,91.98,escortskubota,55.04,55.82,
38,EPS After Extra Ordinary,,,,escortskubota,,,
39,Basic EPS.,58.85,74.06,92.15,escortskubota,55.04,55.82,
