,0,1,2,3,Stock,4,5,6
30,Deferred Tax Assets [Net],1355.76,1336.54,1322.02,dlf,1339.33,2376.92,
31,Long Term Loans And Advances,205.65,229.92,396.04,dlf,667.33,294.64,
32,Other Non-Current Assets,2738.97,2366.19,2518.67,dlf,3022.08,3071.97,
33,Total Non-Current Assets,28157.30,28412.52,28216.63,dlf,28436.78,33138.58,
34,CURRENT ASSETS,,,,dlf,,,
35,Current Investments,470.72,243.06,716.82,dlf,433.35,34.20,
36,Inventories,19361.23,20106.99,21086.64,dlf,22486.24,22008.55,
37,Trade Receivables,549.23,563.60,581.29,dlf,720.39,832.28,
38,Cash And Cash Equivalents,2274.72,931.62,1406.87,dlf,2420.43,4855.37,
39,Short Term Loans And Advances,816.71,687.86,1041.43,dlf,864.38,1964.27,
40,OtherCurrentAssets,2298.08,1557.74,1759.98,dlf,1868.21,4089.21,
41,Total Current Assets,25770.69,24090.88,26593.04,dlf,28793.00,33783.88,
42,Total Assets,53927.99,52503.40,54809.67,dlf,57229.79,66922.46,
43,OTHER ADDITIONAL INFORMATION,,,,dlf,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,dlf,,,
45,Contingent Liabilities,9526.19,9816.77,9809.37,dlf,12060.84,14047.76,
46,BONUS DETAILS,,,,dlf,,,
47,Bonus Equity Share Capital,267.72,267.72,267.72,dlf,267.72,267.72,
48,NON-CURRENT INVESTMENTS,,,,dlf,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,dlf,0.34,1.38,
50,Non-Current Investments Unquoted Book Value,0.00,0.00,0.00,dlf,109.22,100.88,
51,CURRENT INVESTMENTS,,,,dlf,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,dlf,110.30,17.66,
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,dlf,323.05,16.54,
0,Balance Sheet of Dabur India (in Rs. Cr.),Mar 23,Mar 22,Mar 21,daburindia,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,daburindia,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,daburindia,,,
3,SHAREHOLDER'S FUNDS,,,,daburindia,,,
4,Equity Share Capital,177.18,176.79,176.74,daburindia,176.71,176.63,
5,Total Share Capital,177.18,176.79,176.74,daburindia,176.71,176.63,
6,Reserves and Surplus,8737.00,8056.30,7486.79,daburindia,6429.04,5455.05,
7,Total Reserves and Surplus,8737.00,8056.30,7486.79,daburindia,6429.04,5455.05,
8,Total Shareholders Funds,8973.26,8381.30,7663.53,daburindia,6605.75,5631.68,
9,Minority Interest,468.17,40.55,36.69,daburindia,36.46,31.38,
10,NON-CURRENT LIABILITIES,,,,daburindia,,,
11,Long Term Borrowings,298.84,250.36,134.13,daburindia,162.89,26.05,
12,Deferred Tax Liabilities [Net],90.99,82.27,13.91,daburindia,17.43,23.14,
13,Other Long Term Liabilities,149.31,143.83,1.37,daburindia,4.66,4.56,
14,Long Term Provisions,64.37,63.68,63.31,daburindia,62.94,59.52,
15,Total Non-Current Liabilities,603.51,540.14,212.72,daburindia,247.92,113.27,
16,CURRENT LIABILITIES,,,,daburindia,,,
17,Short Term Borrowings,700.18,617.29,349.14,daburindia,304.24,498.23,
18,Trade Payables,2186.61,2017.95,1915.26,daburindia,1482.15,1455.43,
19,Other Current Liabilities,508.63,501.30,481.95,daburindia,511.95,576.41,
20,Short Term Provisions,214.01,186.00,187.84,daburindia,165.54,130.24,
21,Total Current Liabilities,3609.43,3322.54,2934.19,daburindia,2463.88,2660.31,
22,Total Capital And Liabilities,13654.37,12284.53,10847.13,daburindia,9354.01,8436.64,
23,ASSETS,,,,daburindia,,,
24,NON-CURRENT ASSETS,,,,daburindia,,,
25,Tangible Assets,2284.67,2017.02,1862.20,daburindia,1872.53,1600.07,
26,Intangible Assets,888.73,39.73,44.71,daburindia,44.18,32.92,
27,Capital Work-In-Progress,175.13,167.50,147.30,daburindia,146.57,63.76,
28,Fixed Assets,3348.53,2224.25,2054.21,daburindia,2063.28,1696.75,
29,Non-Current Investments,5528.79,5365.06,3413.62,daburindia,1409.23,2633.35,
30,Deferred Tax Assets [Net],2.09,0.67,17.95,daburindia,22.00,0.00,
31,Long Term Loans And Advances,0.00,0.00,22.48,daburindia,24.64,17.56,
32,Other Non-Current Assets,120.75,126.56,226.92,daburindia,618.63,166.68,
33,Total Non-Current Assets,9405.41,7967.69,6071.19,daburindia,4473.75,4850.41,
34,CURRENT ASSETS,,,,daburindia,,,
35,Current Investments,736.47,854.56,746.01,daburindia,1391.03,725.41,
36,Inventories,2024.20,1911.37,1734.28,daburindia,1379.57,1300.53,
37,Trade Receivables,848.75,646.15,561.58,daburindia,813.89,833.56,
38,Cash And Cash Equivalents,325.92,570.14,1329.03,daburindia,811.37,328.16,
39,Short Term Loans And Advances,0.00,0.00,14.46,daburindia,13.07,11.04,
40,OtherCurrentAssets,313.62,334.62,390.58,daburindia,471.33,387.53,
41,Total Current Assets,4248.96,4316.84,4775.94,daburindia,4880.26,3586.23,
42,Total Assets,13654.37,12284.53,10847.13,daburindia,9354.01,8436.64,
43,OTHER ADDITIONAL INFORMATION,,,,daburindia,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,daburindia,,,
45,Contingent Liabilities,521.73,555.06,347.77,daburindia,360.21,343.88,
46,BONUS DETAILS,,,,daburindia,,,
47,Bonus Equity Share Capital,163.23,163.23,163.23,daburindia,163.23,163.23,
48,NON-CURRENT INVESTMENTS,,,,daburindia,,,
49,Non-Current Investments Quoted Market Value,4652.16,4229.01,3024.07,daburindia,985.47,2138.00,
50,Non-Current Investments Unquoted Book Value,888.85,1142.16,387.90,daburindia,409.29,483.06,
51,CURRENT INVESTMENTS,,,,daburindia,,,
52,Current Investments Quoted Market Value,275.15,678.49,451.14,daburindia,1382.67,700.41,
53,Current Investments Unquoted Book Value,462.83,166.67,320.19,daburindia,33.11,25.00,
0,Balance Sheet of Dalmia Bharat (in Rs. Cr.),Mar 23,Mar 22,Mar 21,dalmiabharat,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,dalmiabharat,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,dalmiabharat,,,
3,SHAREHOLDER'S FUNDS,,,,dalmiabharat,,,
4,Equity Share Capital,37.00,37.00,37.00,dalmiabharat,39.00,39.00,
5,Total Share Capital,37.00,37.00,37.00,dalmiabharat,39.00,39.00,
6,Reserves and Surplus,15579.00,15629.00,12583.00,dalmiabharat,10511.00,10586.00,
7,Total Reserves and Surplus,15579.00,15629.00,12583.00,dalmiabharat,10511.00,10586.00,
8,Total Shareholders Funds,15628.00,15687.00,12626.00,dalmiabharat,10561.00,10639.00,
9,Minority Interest,116.00,72.00,37.00,dalmiabharat,25.00,11.00,
10,NON-CURRENT LIABILITIES,,,,dalmiabharat,,,
11,Long Term Borrowings,3210.00,1922.00,2089.00,dalmiabharat,3505.00,4015.00,
12,Deferred Tax Liabilities [Net],1634.00,2034.00,1634.00,dalmiabharat,1277.00,1279.00,
13,Other Long Term Liabilities,259.00,202.00,297.00,dalmiabharat,281.00,242.00,
14,Long Term Provisions,236.00,178.00,171.00,dalmiabharat,140.00,170.00,
15,Total Non-Current Liabilities,5339.00,4336.00,4191.00,dalmiabharat,5203.00,5706.00,
16,CURRENT LIABILITIES,,,,dalmiabharat,,,
17,Short Term Borrowings,532.00,1197.00,838.00,dalmiabharat,1246.00,908.00,
18,Trade Payables,1135.00,850.00,1051.00,dalmiabharat,829.00,877.00,
19,Other Current Liabilities,2709.00,2641.00,2951.00,dalmiabharat,2683.00,2307.00,
20,Short Term Provisions,84.00,88.00,116.00,dalmiabharat,64.00,90.00,
21,Total Current Liabilities,4460.00,4776.00,4956.00,dalmiabharat,4822.00,4182.00,
22,Total Capital And Liabilities,25543.00,24871.00,21810.00,dalmiabharat,20611.00,20538.00,
23,ASSETS,,,,dalmiabharat,,,
24,NON-CURRENT ASSETS,,,,dalmiabharat,,,
25,Tangible Assets,11611.00,10645.00,10120.00,dalmiabharat,8587.00,9086.00,
26,Intangible Assets,2443.00,2556.00,2607.00,dalmiabharat,2750.00,2867.00,
27,Capital Work-In-Progress,1859.00,1036.00,938.00,dalmiabharat,1702.00,501.00,
28,Fixed Assets,15925.00,14248.00,13740.00,dalmiabharat,13077.00,12473.00,
29,Non-Current Investments,589.00,1305.00,121.00,dalmiabharat,118.00,109.00,
30,Deferred Tax Assets [Net],24.00,399.00,0.00,dalmiabharat,0.00,0.00,
31,Long Term Loans And Advances,11.00,9.00,69.00,dalmiabharat,71.00,63.00,
32,Other Non-Current Assets,914.00,591.00,386.00,dalmiabharat,458.00,869.00,
33,Total Non-Current Assets,18193.00,17359.00,15327.00,dalmiabharat,14942.00,15134.00,
34,CURRENT ASSETS,,,,dalmiabharat,,,
35,Current Investments,2935.00,4399.00,3293.00,dalmiabharat,2698.00,2315.00,
36,Inventories,1316.00,945.00,924.00,dalmiabharat,974.00,1032.00,
37,Trade Receivables,700.00,673.00,688.00,dalmiabharat,397.00,549.00,
38,Cash And Cash Equivalents,285.00,160.00,311.00,dalmiabharat,403.00,469.00,
39,Short Term Loans And Advances,8.00,10.00,92.00,dalmiabharat,71.00,63.00,
40,OtherCurrentAssets,2106.00,1325.00,1175.00,dalmiabharat,1126.00,976.00,
41,Total Current Assets,7350.00,7512.00,6483.00,dalmiabharat,5669.00,5404.00,
42,Total Assets,25543.00,24871.00,21810.00,dalmiabharat,20611.00,20538.00,
43,OTHER ADDITIONAL INFORMATION,,,,dalmiabharat,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,dalmiabharat,,,
45,Contingent Liabilities,1602.00,1647.00,1153.00,dalmiabharat,1112.00,1246.00,
46,BONUS DETAILS,,,,dalmiabharat,,,
47,Bonus Equity Share Capital,0.00,0.00,0.00,dalmiabharat,0.00,0.00,
48,NON-CURRENT INVESTMENTS,,,,dalmiabharat,,,
49,Non-Current Investments Quoted Market Value,501.00,711.00,0.00,dalmiabharat,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,86.00,209.00,25.00,dalmiabharat,25.00,16.00,
51,CURRENT INVESTMENTS,,,,dalmiabharat,,,
52,Current Investments Quoted Market Value,1874.00,3134.00,2267.00,dalmiabharat,1416.00,1138.00,
53,Current Investments Unquoted Book Value,1061.00,1265.00,1026.00,dalmiabharat,1282.00,1177.00,
0,Balance Sheet of Deepak Nitrite (in Rs. Cr.),Mar 23,Mar 22,Mar 21,deepaknitrite,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,deepaknitrite,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,deepaknitrite,,,
3,SHAREHOLDER'S FUNDS,,,,deepaknitrite,,,
4,Equity Share Capital,27.28,27.28,27.28,deepaknitrite,27.28,27.28,
5,Total Share Capital,27.28,27.28,27.28,deepaknitrite,27.28,27.28,
6,Reserves and Surplus,4062.68,3311.16,2319.37,deepaknitrite,1544.63,1044.31,
7,Total Reserves and Surplus,4062.68,3311.16,2319.37,deepaknitrite,1544.63,1044.31,
8,Total Shareholders Funds,4089.96,3338.44,2346.65,deepaknitrite,1571.91,1071.58,
9,Minority Interest,0.00,0.00,0.00,deepaknitrite,0.00,0.00,
10,NON-CURRENT LIABILITIES,,,,deepaknitrite,,,
11,Long Term Borrowings,43.02,187.49,524.04,deepaknitrite,779.43,869.86,
12,Deferred Tax Liabilities [Net],156.62,122.87,107.81,deepaknitrite,79.61,77.46,
13,Other Long Term Liabilities,15.41,12.88,11.12,deepaknitrite,14.31,13.80,
14,Long Term Provisions,29.97,21.86,17.20,deepaknitrite,14.40,11.44,
15,Total Non-Current Liabilities,245.02,345.10,660.17,deepaknitrite,887.75,972.57,
16,CURRENT LIABILITIES,,,,deepaknitrite,,,
17,Short Term Borrowings,11.46,113.19,53.50,deepaknitrite,248.42,255.05,
18,Trade Payables,661.76,511.71,436.74,deepaknitrite,364.26,504.56,
19,Other Current Liabilities,106.17,114.32,52.86,deepaknitrite,124.23,116.40,
20,Short Term Provisions,14.37,7.70,10.38,deepaknitrite,12.04,7.62,
21,Total Current Liabilities,793.76,746.92,553.48,deepaknitrite,748.95,883.63,
22,Total Capital And Liabilities,5128.74,4430.46,3560.30,deepaknitrite,3208.61,2927.78,
23,ASSETS,,,,deepaknitrite,,,
24,NON-CURRENT ASSETS,,,,deepaknitrite,,,
25,Tangible Assets,1913.53,1932.68,1835.69,deepaknitrite,1801.91,1700.57,
26,Intangible Assets,28.08,30.75,28.05,deepaknitrite,30.07,15.27,
27,Capital Work-In-Progress,282.59,103.69,206.76,deepaknitrite,172.27,33.87,
28,Fixed Assets,2242.44,2085.66,2084.18,deepaknitrite,2004.25,1749.70,
29,Non-Current Investments,2.48,2.23,2.50,deepaknitrite,2.38,2.39,
30,Deferred Tax Assets [Net],0.15,0.00,0.00,deepaknitrite,0.00,0.00,
31,Long Term Loans And Advances,0.70,0.76,0.79,deepaknitrite,1.06,1.36,
32,Other Non-Current Assets,143.90,57.08,20.65,deepaknitrite,44.62,12.61,
33,Total Non-Current Assets,2389.67,2145.73,2108.12,deepaknitrite,2052.31,1766.06,
34,CURRENT ASSETS,,,,deepaknitrite,,,
35,Current Investments,376.87,436.79,186.79,deepaknitrite,0.00,0.00,
36,Inventories,893.07,584.55,382.69,deepaknitrite,394.50,410.73,
37,Trade Receivables,1309.52,1129.06,756.30,deepaknitrite,612.72,574.96,
38,Cash And Cash Equivalents,39.95,41.79,33.43,deepaknitrite,31.40,25.77,
39,Short Term Loans And Advances,0.43,0.41,0.57,deepaknitrite,0.00,0.00,
40,OtherCurrentAssets,119.23,92.13,92.40,deepaknitrite,117.68,150.26,
41,Total Current Assets,2739.07,2284.73,1452.18,deepaknitrite,1156.30,1161.72,
42,Total Assets,5128.74,4430.46,3560.30,deepaknitrite,3208.61,2927.78,
43,OTHER ADDITIONAL INFORMATION,,,,deepaknitrite,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,deepaknitrite,,,
45,Contingent Liabilities,494.01,165.51,106.37,deepaknitrite,173.98,72.29,
46,BONUS DETAILS,,,,deepaknitrite,,,
47,Bonus Equity Share Capital,12.43,12.43,12.43,deepaknitrite,12.43,12.43,
48,NON-CURRENT INVESTMENTS,,,,deepaknitrite,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,deepaknitrite,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,2.40,2.18,2.45,deepaknitrite,2.35,2.33,
51,CURRENT INVESTMENTS,,,,deepaknitrite,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,deepaknitrite,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,deepaknitrite,0.00,0.00,
0,Balance Sheet of Delta Corp (in Rs. Cr.),Mar 23,Mar 22,Mar 21,deltacorp,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,deltacorp,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,deltacorp,,,
3,SHAREHOLDER'S FUNDS,,,,deltacorp,,,
4,Equity Share Capital,26.76,26.73,26.68,deltacorp,27.09,27.09,
5,Total Share Capital,26.76,26.73,26.68,deltacorp,27.09,27.09,
6,Reserves and Surplus,2151.15,1953.35,1915.17,deltacorp,1927.51,1915.18,
7,Total Reserves and Surplus,2151.15,1953.35,1915.17,deltacorp,1927.51,1915.18,
8,Total Shareholders Funds,2218.99,2021.52,1941.85,deltacorp,1954.60,1942.27,
9,Minority Interest,2.09,1.16,1.22,deltacorp,3.30,8.01,
10,NON-CURRENT LIABILITIES,,,,deltacorp,,,
11,Long Term Borrowings,0.00,0.00,0.00,deltacorp,0.00,0.00,
12,Deferred Tax Liabilities [Net],44.41,16.28,20.46,deltacorp,19.70,24.30,
13,Other Long Term Liabilities,53.38,39.81,27.77,deltacorp,34.53,0.00,
14,Long Term Provisions,4.73,2.49,2.90,deltacorp,2.50,2.26,
15,Total Non-Current Liabilities,102.52,58.58,51.13,deltacorp,56.73,26.56,
16,CURRENT LIABILITIES,,,,deltacorp,,,
17,Short Term Borrowings,0.00,0.00,0.00,deltacorp,0.00,0.19,
18,Trade Payables,15.79,14.79,18.62,deltacorp,18.88,11.93,
19,Other Current Liabilities,103.17,92.70,83.47,deltacorp,98.56,98.69,
20,Short Term Provisions,104.29,103.93,66.25,deltacorp,9.88,7.33,
21,Total Current Liabilities,223.25,211.42,168.34,deltacorp,127.32,118.14,
22,Total Capital And Liabilities,2546.85,2292.68,2162.54,deltacorp,2141.95,2094.98,
23,ASSETS,,,,deltacorp,,,
24,NON-CURRENT ASSETS,,,,deltacorp,,,
25,Tangible Assets,810.77,794.15,831.05,deltacorp,876.52,825.38,
26,Intangible Assets,9.30,12.21,11.01,deltacorp,9.15,7.22,
27,Capital Work-In-Progress,21.75,6.58,5.03,deltacorp,5.25,9.70,
28,Fixed Assets,841.95,813.26,848.00,deltacorp,892.37,845.50,
29,Non-Current Investments,25.40,37.09,50.62,deltacorp,29.20,46.30,
30,Deferred Tax Assets [Net],10.41,23.87,24.10,deltacorp,19.31,23.98,
31,Long Term Loans And Advances,0.00,0.00,0.00,deltacorp,0.00,0.00,
32,Other Non-Current Assets,227.16,112.33,53.26,deltacorp,53.95,37.86,
33,Total Non-Current Assets,1495.50,1377.13,1376.01,deltacorp,1395.14,1350.50,
34,CURRENT ASSETS,,,,deltacorp,,,
35,Current Investments,534.80,600.75,509.02,deltacorp,475.59,399.15,
36,Inventories,193.40,145.10,115.56,deltacorp,107.14,95.82,
37,Trade Receivables,4.91,3.08,3.67,deltacorp,0.49,6.95,
38,Cash And Cash Equivalents,128.66,102.85,63.75,deltacorp,96.06,73.78,
39,Short Term Loans And Advances,31.75,11.67,7.40,deltacorp,9.70,7.89,
40,OtherCurrentAssets,157.83,52.10,87.13,deltacorp,57.83,160.89,
41,Total Current Assets,1051.35,915.55,786.53,deltacorp,746.81,744.48,
42,Total Assets,2546.85,2292.68,2162.54,deltacorp,2141.95,2094.98,
43,OTHER ADDITIONAL INFORMATION,,,,deltacorp,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,deltacorp,,,
45,Contingent Liabilities,361.41,418.73,132.32,deltacorp,83.06,134.30,
46,BONUS DETAILS,,,,deltacorp,,,
47,Bonus Equity Share Capital,0.00,0.00,0.00,deltacorp,0.00,0.00,
48,NON-CURRENT INVESTMENTS,,,,deltacorp,,,
49,Non-Current Investments Quoted Market Value,0.11,0.15,10.69,deltacorp,10.41,0.17,
50,Non-Current Investments Unquoted Book Value,8.80,21.26,24.05,deltacorp,20.06,47.54,
51,CURRENT INVESTMENTS,,,,deltacorp,,,
52,Current Investments Quoted Market Value,536.41,600.79,0.00,deltacorp,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,0.00,508.99,deltacorp,428.60,292.84,
0,Balance Sheet of Divis Laboratories (in Rs. Cr.),Mar 23,Mar 22,Mar 21,divislaboratories,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,divislaboratories,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,divislaboratories,,,
3,SHAREHOLDER'S FUNDS,,,,divislaboratories,,,
4,Equity Share Capital,53.09,53.09,53.09,divislaboratories,53.09,53.09,
5,Total Share Capital,53.09,53.09,53.09,divislaboratories,53.09,53.09,
6,Reserves and Surplus,12714.00,11675.09,9241.52,divislaboratories,7256.83,6904.06,
7,Total Reserves and Surplus,12714.00,11675.09,9241.52,divislaboratories,7256.83,6904.06,
8,Total Shareholders Funds,12767.09,11728.18,9294.61,divislaboratories,7309.92,6957.15,
9,Minority Interest,0.00,0.00,0.00,divislaboratories,0.00,0.00,
10,NON-CURRENT LIABILITIES,,,,divislaboratories,,,
11,Long Term Borrowings,0.00,0.00,0.00,divislaboratories,0.00,0.00,
12,Deferred Tax Liabilities [Net],537.21,421.40,338.06,divislaboratories,273.96,221.18,
13,Other Long Term Liabilities,2.77,2.87,3.69,divislaboratories,4.47,0.00,
14,Long Term Provisions,30.62,26.71,25.25,divislaboratories,20.52,13.17,
15,Total Non-Current Liabilities,570.60,450.98,367.00,divislaboratories,298.95,234.35,
16,CURRENT LIABILITIES,,,,divislaboratories,,,
17,Short Term Borrowings,0.00,0.00,0.35,divislaboratories,33.63,105.60,
18,Trade Payables,762.51,795.70,763.20,divislaboratories,590.72,492.26,
19,Other Current Liabilities,333.65,395.70,346.40,divislaboratories,300.02,247.78,
20,Short Term Provisions,4.92,4.15,2.51,divislaboratories,2.46,1.11,
21,Total Current Liabilities,1101.08,1195.55,1112.46,divislaboratories,926.83,846.75,
22,Total Capital And Liabilities,14438.77,13374.71,10774.07,divislaboratories,8535.70,8038.25,
23,ASSETS,,,,divislaboratories,,,
24,NON-CURRENT ASSETS,,,,divislaboratories,,,
25,Tangible Assets,4934.48,4317.56,3698.92,divislaboratories,2778.25,2083.72,
26,Intangible Assets,0.00,7.49,4.95,divislaboratories,3.60,4.05,
27,Capital Work-In-Progress,0.00,469.93,710.62,divislaboratories,919.69,491.91,
28,Fixed Assets,4934.48,4794.98,4414.49,divislaboratories,3701.54,2579.68,
29,Non-Current Investments,77.05,72.01,0.01,divislaboratories,0.01,547.26,
30,Deferred Tax Assets [Net],14.24,14.47,3.23,divislaboratories,4.38,2.34,
31,Long Term Loans And Advances,0.00,0.00,55.33,divislaboratories,35.32,34.04,
32,Other Non-Current Assets,101.26,141.75,126.30,divislaboratories,114.62,224.88,
33,Total Non-Current Assets,5127.03,5023.21,4599.36,divislaboratories,3855.87,3388.20,
34,CURRENT ASSETS,,,,divislaboratories,,,
35,Current Investments,0.00,0.00,0.00,divislaboratories,971.35,1398.34,
36,Inventories,3000.41,2828.62,2145.23,divislaboratories,1863.86,1772.34,
37,Trade Receivables,1792.53,2423.88,1676.52,divislaboratories,1413.35,1163.37,
38,Cash And Cash Equivalents,4213.09,2818.88,2156.03,divislaboratories,122.63,115.26,
39,Short Term Loans And Advances,0.00,0.00,0.00,divislaboratories,0.09,0.11,
40,OtherCurrentAssets,305.71,280.12,196.93,divislaboratories,308.55,200.63,
41,Total Current Assets,9311.74,8351.50,6174.71,divislaboratories,4679.83,4650.05,
42,Total Assets,14438.77,13374.71,10774.07,divislaboratories,8535.70,8038.25,
43,OTHER ADDITIONAL INFORMATION,,,,divislaboratories,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,divislaboratories,,,
45,Contingent Liabilities,0.00,1259.90,1107.13,divislaboratories,1222.84,1031.35,
46,BONUS DETAILS,,,,divislaboratories,,,
47,Bonus Equity Share Capital,0.00,39.67,39.67,divislaboratories,39.67,39.67,
48,NON-CURRENT INVESTMENTS,,,,divislaboratories,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,divislaboratories,0.00,547.25,
50,Non-Current Investments Unquoted Book Value,0.00,72.01,0.01,divislaboratories,0.01,0.01,
51,CURRENT INVESTMENTS,,,,divislaboratories,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,divislaboratories,971.35,1398.34,
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,divislaboratories,0.00,0.00,
0,Balance Sheet of Dixon Technologies (in Rs. Cr.),Mar 23,Mar 22,Mar 21,dixontechnologies,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,dixontechnologies,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,dixontechnologies,,,
3,SHAREHOLDER'S FUNDS,,,,dixontechnologies,,,
4,Equity Share Capital,11.91,11.87,11.71,dixontechnologies,11.57,11.33,
5,Total Share Capital,11.91,11.87,11.71,dixontechnologies,11.57,11.33,
6,Reserves and Surplus,1273.00,984.91,725.60,dixontechnologies,529.76,366.89,
7,Total Reserves and Surplus,1273.00,984.91,725.60,dixontechnologies,529.76,366.89,
8,Total Shareholders Funds,1284.91,996.78,737.31,dixontechnologies,541.33,378.22,
9,Minority Interest,-0.28,0.55,0.00,dixontechnologies,0.00,0.00,
10,NON-CURRENT LIABILITIES,,,,dixontechnologies,,,
11,Long Term Borrowings,145.23,297.32,79.96,dixontechnologies,11.02,6.14,
12,Deferred Tax Liabilities [Net],22.40,20.12,18.38,dixontechnologies,15.02,15.98,
13,Other Long Term Liabilities,268.92,212.23,130.50,dixontechnologies,89.36,158.41,
14,Long Term Provisions,17.26,14.28,8.75,dixontechnologies,6.50,4.63,
15,Total Non-Current Liabilities,453.81,543.95,237.59,dixontechnologies,121.90,185.17,
16,CURRENT LIABILITIES,,,,dixontechnologies,,,
17,Short Term Borrowings,37.39,160.67,71.34,dixontechnologies,71.80,129.94,
18,Trade Payables,2451.88,2313.74,1709.65,dixontechnologies,939.06,739.68,
19,Other Current Liabilities,443.14,254.19,84.12,dixontechnologies,18.74,56.10,
20,Short Term Provisions,8.58,7.29,5.63,dixontechnologies,4.39,3.33,
21,Total Current Liabilities,2940.99,2735.89,1870.75,dixontechnologies,1033.99,929.05,
22,Total Capital And Liabilities,4679.43,4277.17,2845.65,dixontechnologies,1697.22,1492.44,
23,ASSETS,,,,dixontechnologies,,,
24,NON-CURRENT ASSETS,,,,dixontechnologies,,,
25,Tangible Assets,1333.03,954.23,538.05,dixontechnologies,401.55,236.22,
26,Intangible Assets,0.00,18.75,4.00,dixontechnologies,4.37,4.72,
27,Capital Work-In-Progress,0.00,22.01,72.39,dixontechnologies,9.55,18.77,
28,Fixed Assets,1333.03,995.37,614.44,dixontechnologies,415.47,259.71,
29,Non-Current Investments,14.15,5.94,0.00,dixontechnologies,0.00,0.00,
30,Deferred Tax Assets [Net],0.00,0.00,0.00,dixontechnologies,0.25,1.60,
31,Long Term Loans And Advances,0.00,0.00,0.00,dixontechnologies,0.00,0.00,
32,Other Non-Current Assets,162.67,98.55,31.97,dixontechnologies,27.15,161.76,
33,Total Non-Current Assets,1540.16,1130.17,654.57,dixontechnologies,451.03,423.07,
34,CURRENT ASSETS,,,,dixontechnologies,,,
35,Current Investments,30.00,135.02,95.25,dixontechnologies,0.00,7.61,
36,Inventories,957.87,1155.69,743.25,dixontechnologies,497.84,408.36,
37,Trade Receivables,1715.45,1356.35,1089.06,dixontechnologies,515.12,516.74,
38,Cash And Cash Equivalents,229.18,182.34,68.88,dixontechnologies,100.16,36.72,
39,Short Term Loans And Advances,0.00,0.44,2.50,dixontechnologies,0.00,0.00,
40,OtherCurrentAssets,206.77,317.16,192.14,dixontechnologies,133.06,99.95,
41,Total Current Assets,3139.27,3147.00,2191.08,dixontechnologies,1246.18,1069.38,
42,Total Assets,4679.43,4277.17,2845.65,dixontechnologies,1697.22,1492.44,
43,OTHER ADDITIONAL INFORMATION,,,,dixontechnologies,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,dixontechnologies,,,
45,Contingent Liabilities,0.00,3251.81,1649.88,dixontechnologies,860.51,488.90,
46,BONUS DETAILS,,,,dixontechnologies,,,
47,Bonus Equity Share Capital,0.00,6.28,6.28,dixontechnologies,6.28,6.28,
48,NON-CURRENT INVESTMENTS,,,,dixontechnologies,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,dixontechnologies,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,0.00,5.94,0.00,dixontechnologies,0.00,0.00,
51,CURRENT INVESTMENTS,,,,dixontechnologies,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,dixontechnologies,0.00,7.61,
53,Current Investments Unquoted Book Value,0.00,135.02,0.00,dixontechnologies,0.00,0.00,
0,Balance Sheet of Dr Lal PathLabs (in Rs. Cr.),Mar 23,Mar 22,Mar 21,drlalpathlabs,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,drlalpathlabs,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,drlalpathlabs,,,
3,SHAREHOLDER'S FUNDS,,,,drlalpathlabs,,,
